,inchikey,y
0,YVGGHNCTFXOJCH-UHFFFAOYSA-N,3.604882312
1,MRUDNSFOFOQZDA-UHFFFAOYSA-N,-0.22184875
2,XZIDTOHMJBOSOX-UHFFFAOYSA-N,0.073064018
3,FMMWHPNWAFZXNH-UHFFFAOYSA-N,2.730815793
4,UFBJCMHMOXMLKC-UHFFFAOYSA-N,0.05201523
5,VPHHJAOJUJHJKD-UHFFFAOYSA-N,-0.168621084
6,LHRCREOYAASXPZ-UHFFFAOYSA-N,2.8
7,PNVJTZOFSHSLTO-UHFFFAOYSA-N,2.26023505
8,LCCNCVORNKJIRZ-UHFFFAOYSA-N,2.105564234
9,DXBHBZVCASKNBY-UHFFFAOYSA-N,2.54
10,VGVRPFIJEJYOFN-UHFFFAOYSA-N,2.006456782
11,CFKMVGJGLGKFKI-UHFFFAOYSA-N,1.015731479
12,RTZKZFJDLAIYFH-UHFFFAOYSA-N,0.474928287
13,MCWXGJITAZMZEV-UHFFFAOYSA-N,0.155653709
14,DFBKLUNHFCTMDC-PICURKEMSA-N,3.822008446
15,KLSJWNVTNUYHDU-UHFFFAOYSA-N,-0.015758526
16,CPJSUEIXXCENMM-UHFFFAOYSA-N,0.977121255
17,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,0.307059991
18,UMGDCJDMYOKAJW-UHFFFAOYSA-N,-0.198970004
19,WPYMKLBDIGXBTP-UHFFFAOYSA-N,1.0
20,YPHMISFOHDHNIV-FSZOTQKASA-N,-0.037860357
21,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,0.102059991
22,VHHHONWQHHHLTI-UHFFFAOYSA-N,2.114928614
23,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.106505456
24,UOCLXMDMGBRAIB-UHFFFAOYSA-N,0.474831948
25,UCNVFOCBFJOQAL-UHFFFAOYSA-N,4.51
26,XRHGYUZYPHTUJZ-UHFFFAOYSA-N,1.0
27,UTGQNNCQYDRXCH-UHFFFAOYSA-N,3.132805492
28,JPOXNPPZZKNXOV-UHFFFAOYSA-N,0.453543729
29,YMWUJEATGCHHMB-UHFFFAOYSA-N,1.066218625
30,DKGAVHZHDRPRBM-UHFFFAOYSA-N,0.365980003
31,PXBRQCKWGAHEHS-UHFFFAOYSA-N,0.876560901
32,IUGYQRQAERSCNH-UHFFFAOYSA-N,0.09552075
33,NDUPDOJHUQKPAG-UHFFFAOYSA-N,0.6635
34,YNJBWRMUSHSURL-UHFFFAOYSA-N,0.024986463
35,AJDIZQLSFPQPEY-UHFFFAOYSA-N,1.6229641
36,FRCCEHPWNOQAEU-UHFFFAOYSA-N,3.963450678
37,JBWKIWSBJXDJDT-UHFFFAOYSA-N,2.623496036
38,UKXSKSHDVLQNKG-UHFFFAOYSA-N,-0.22184875
39,VUNCWTMEJYMOOR-UHFFFAOYSA-N,1.182349538
40,HECLRDQVFMWTQS-UHFFFAOYSA-N,2.412010537
41,DQWPFSLDHJDLRL-UHFFFAOYSA-N,-0.095388513
42,GTVWRXDRKAHEAD-UHFFFAOYSA-N,1.01367756
43,WTLBZVNBAKMVDP-UHFFFAOYSA-N,0.58169667
44,HJOVHMDZYOCNQW-UHFFFAOYSA-N,0.389764174
45,RRHGJUQNOFWUDK-UHFFFAOYSA-N,1.133053506
46,KNKRKFALVUDBJE-UHFFFAOYSA-N,0.564880126
47,UBOXGVDOUJQMTN-UHFFFAOYSA-N,0.532545706
48,XSTXAVWGXDQKEL-UHFFFAOYSA-N,1.114288625
49,QXSZNDIIPUOQMB-UHFFFAOYSA-N,0.769609386
50,CRPUJAZIXJMDBK-UHFFFAOYSA-N,2.969941968
