,inchikey,y
0,NWIBSHFKIJFRCO-WUDYKRTCSA-N,534.0
1,FMMWHPNWAFZXNH-UHFFFAOYSA-N,495.0
2,QVTQYSFCFOGITD-UHFFFAOYSA-N,301.0
3,KWTSXDURSIMDCE-QMMMGPOBSA-N,203.0
4,XVAIDCNLVLTVFM-UHFFFAOYSA-N,335.0
5,JOYRKODLDBILNP-UHFFFAOYSA-N,185.0
6,VGIVLIHKENZQHQ-UHFFFAOYSA-N,83.0
7,LHRCREOYAASXPZ-UHFFFAOYSA-N,524.0
8,CZIHNRWJTSTCEX-UHFFFAOYSA-N,303.0
9,WXFIGDLSSYIKKV-RCOVLWMOSA-N,218.0
10,KXDAEFPNCMNJSK-UHFFFAOYSA-N,290.0
11,SNIOPGDIGTZGOP-UHFFFAOYSA-N,250.0
12,MUCZHBLJLSDCSD-UHFFFAOYSA-N,183.0
13,DXBHBZVCASKNBY-UHFFFAOYSA-N,437.6
14,PEDCQBHIVMGVHV-UHFFFAOYSA-N,290.0
15,IPCSVZSSVZVIGE-UHFFFAOYSA-N,351.5
16,QIQXTHQIDYTFRH-UHFFFAOYSA-N,383.0
17,RHUYHJGZWVXEHW-UHFFFAOYSA-N,63.9
18,OSASVXMJTNOKOY-UHFFFAOYSA-N,167.0
19,DNIAPMSPPWPWGF-UHFFFAOYSA-N,187.6
20,HVYWMOMLDIMFJA-DPAQBDIFSA-N,360.0
21,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,323.4
22,NCYVXEGFNDZQCU-UHFFFAOYSA-N,298.0
23,CFKMVGJGLGKFKI-UHFFFAOYSA-N,235.0
24,ZKXDGKXYMTYWTB-UHFFFAOYSA-N,225.0
25,RTZKZFJDLAIYFH-UHFFFAOYSA-N,34.6
26,OYHQOLUKZRVURQ-HZJYTTRNSA-N,365.2
27,HDZGCSFEDULWCS-UHFFFAOYSA-N,87.5
28,PMRYVIKBURPHAH-UHFFFAOYSA-N,280.0
29,CPJSUEIXXCENMM-UHFFFAOYSA-N,243.5
30,PLUBXMRUUVWRLT-UHFFFAOYSA-N,213.5
31,OEBRKCOSUFCWJD-UHFFFAOYSA-N,234.1
32,CVXBEEMKQHEXEN-UHFFFAOYSA-N,315.0
33,BHHGXPLMPWCGHP-UHFFFAOYSA-N,197.5
34,LUBJCRLGQSPQNN-UHFFFAOYSA-N,238.0
35,BDAGIHXWWSANSR-UHFFFAOYSA-N,101.0
36,DENRZWYUOJLTMF-UHFFFAOYSA-N,208.0
37,SKZKKFZAGNVIMN-UHFFFAOYSA-N,181.5
38,WPYMKLBDIGXBTP-UHFFFAOYSA-N,249.2
39,JARKCYVAAOWBJS-UHFFFAOYSA-N,131.0
40,MBABOKRGFJTBAE-UHFFFAOYSA-N,203.0
41,SQAINHDHICKHLX-UHFFFAOYSA-N,292.0
42,SDXAWLJRERMRKF-UHFFFAOYSA-N,218.0
43,OKKJLVBELUTLKV-UHFFFAOYSA-N,64.7
44,GMPKIPWJBDOURN-UHFFFAOYSA-N,49.5
45,KFZMGEQAYNKOFK-UHFFFAOYSA-N,82.3
46,CSCPPACGZOOCGX-UHFFFAOYSA-N,56.0
47,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,189.0
48,HHVIBTZHLRERCL-UHFFFAOYSA-N,238.0
49,ZMXDDKWLCZADIW-UHFFFAOYSA-N,153.0
50,ACGUYXCXAPNIKK-UHFFFAOYSA-N,479.0
51,LOTKRQAVGJMPNV-UHFFFAOYSA-N,296.0
52,BDERNNFJNOPAEC-UHFFFAOYSA-N,97.2
53,LRHPLDYGYMQRHN-UHFFFAOYSA-N,117.7
54,AMQJEAYHLZJPGS-UHFFFAOYSA-N,137.9
55,UHOVQNZJYSORNB-UHFFFAOYSA-N,80.0
56,UOCLXMDMGBRAIB-UHFFFAOYSA-N,74.0
57,IAKOZHOLGAGEJT-UHFFFAOYSA-N,346.0
58,RGCKGOZRHPZPFP-UHFFFAOYSA-N,430.0
59,AHJKRLASYNVKDZ-UHFFFAOYSA-N,350.0
60,GZUXJHMPEANEGY-UHFFFAOYSA-N,3.5
61,OTMSDBZUPAUEDD-UHFFFAOYSA-N,-88.6
62,VGGSQFUCUMXWEO-UHFFFAOYSA-N,-103.7
63,HSFWRNGVRCDJHI-UHFFFAOYSA-N,-84.7
