,inchikey,y
0,UREBDLICKHMUKA-CXSFZGCWSA-N,1.32
1,DDBREPKUVSBGFI-UHFFFAOYSA-N,1.234
2,NWIBSHFKIJFRCO-WUDYKRTCSA-N,1.56
3,MECHNRXZTMCUDQ-RKHKHRCZSA-N,0.97
4,CMSMOCZEIVJLDB-UHFFFAOYSA-N,1.33
5,OIGNJSKKLXVSLS-VWUMJDOOSA-N,1.31
6,YVGGHNCTFXOJCH-UHFFFAOYSA-N,1.451
7,MRUDNSFOFOQZDA-UHFFFAOYSA-N,1.517
8,FMMWHPNWAFZXNH-UHFFFAOYSA-N,1.286
9,VYMDGNCVAMGZFE-UHFFFAOYSA-N,1.173
10,UEJJHQNACJXSKW-UHFFFAOYSA-N,1.503
11,GLVAUDGFNGKCSF-UHFFFAOYSA-N,1.82
12,QAOJBHRZQQDFHA-UHFFFAOYSA-N,1.517
13,HCYAFALTSJYZDH-UHFFFAOYSA-N,1.047
14,KRMDCWKBEZIMAB-UHFFFAOYSA-N,1.076
15,BCGWQEUPMDMJNV-UHFFFAOYSA-N,1.041
16,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,1.212
17,QEVHRUUCFGRFIF-MDEJGZGSSA-N,1.32
18,XNOPRXBHLZRZKH-DSZYJQQASA-N,1.27
19,MRBDMNSDAVCSSF-UHFFFAOYSA-N,1.18
20,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,1.35
21,QVTQYSFCFOGITD-UHFFFAOYSA-N,1.518
22,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,1.954
23,ATCRIUVQKHMXSH-UHFFFAOYSA-N,1.517
24,GZCGUPFRVQAUEE-SLPGGIOYSA-N,1.581
25,FIPWRIJSWJWJAI-UHFFFAOYSA-N,1.066
26,REQCZEXYDRLIBE-UHFFFAOYSA-N,1.06
27,NOIIUHRQUVNIDD-UHFFFAOYSA-N,1.203
28,HYZJCKYKOHLVJF-UHFFFAOYSA-N,1.242
29,IUCJMVBFZDHPDX-UHFFFAOYSA-N,1.617
30,GHASVSINZRGABV-UHFFFAOYSA-N,1.53
31,UFBJCMHMOXMLKC-UHFFFAOYSA-N,1.651
32,STECJAGHUSJQJN-FWXGHANASA-N,1.31
33,CXKCZFDUOYMOOP-UHFFFAOYSA-N,1.517
34,UCTWMZQNUQWSLP-VIFPVBQESA-N,1.283
35,VPHHJAOJUJHJKD-UHFFFAOYSA-N,1.517
36,KNAHARQHSZJURB-UHFFFAOYSA-N,1.24
37,KWTSXDURSIMDCE-QMMMGPOBSA-N,0.946
38,XZTYGFHCIAKPGJ-UHFFFAOYSA-N,1.178
39,ZPACYDRSPFRDHO-ROBAGEODSA-N,0.9
40,JOYRKODLDBILNP-UHFFFAOYSA-N,1.045
41,VGIVLIHKENZQHQ-UHFFFAOYSA-N,0.813
42,LXMSZDCAJNLERA-ZHYRCANASA-N,1.24
43,FOCVUCIESVLUNU-UHFFFAOYSA-N,1.5
44,PXZAWHSJYIECNQ-UHFFFAOYSA-N,2.32
