,inchikey,y
0,FWJKNZONDWOGMI-UHFFFAOYSA-N,1.0
1,OIGNJSKKLXVSLS-VWUMJDOOSA-N,1.0
2,VOXZDWNPVJITMN-ZBRFXRBCSA-N,1.0
3,GLVAUDGFNGKCSF-UHFFFAOYSA-N,1.0
4,KRMDCWKBEZIMAB-UHFFFAOYSA-N,1.0
5,BCGWQEUPMDMJNV-UHFFFAOYSA-N,1.0
6,QEVHRUUCFGRFIF-MDEJGZGSSA-N,1.0
7,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,0.0
8,GHASVSINZRGABV-UHFFFAOYSA-N,1.0
9,KNAHARQHSZJURB-UHFFFAOYSA-N,1.0
10,HAWPXGHAZFHHAD-UHFFFAOYSA-N,1.0
11,LXMSZDCAJNLERA-ZHYRCANASA-N,1.0
12,FOCVUCIESVLUNU-UHFFFAOYSA-N,1.0
13,VVNCNSJFMMFHPL-VKHMYHEASA-N,1.0
14,YNVGQYHLRCDXFQ-XGXHKTLJSA-N,1.0
15,LNEPOXFFQSENCJ-UHFFFAOYSA-N,1.0
16,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,1.0
17,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,1.0
18,DNXHEGUUPJUMQT-CBZIJGRNSA-N,1.0
19,CGIGDMFJXJATDK-UHFFFAOYSA-N,0.0
20,WXFIGDLSSYIKKV-RCOVLWMOSA-N,1.0
21,TVZGACDUOSZQKY-LBPRGKRZSA-N,1.0
22,COVZYZSDYWQREU-UHFFFAOYSA-N,1.0
23,WIIZWVCIJKGZOK-RKDXNWHRSA-N,1.0
24,BQJCRHHNABKAKU-KBQPJGBKSA-N,1.0
25,CXOFVDLJLONNDW-UHFFFAOYSA-N,1.0
26,XADCESSVHJOZHK-UHFFFAOYSA-N,1.0
27,VIROVYVQCGLCII-UHFFFAOYSA-N,1.0
28,NPPQSCRMBWNHMW-UHFFFAOYSA-N,1.0
29,CYDMQBQPVICBEU-XRNKAMNCSA-N,1.0
30,BFPYWIDHMRZLRN-SLHNCBLASA-N,1.0
31,DBABZHXKTCFAPX-UHFFFAOYSA-N,1.0
32,WIKYUJGCLQQFNW-UHFFFAOYSA-N,1.0
33,RGCVKNLCSQQDEP-UHFFFAOYSA-N,1.0
34,AVOLMBLBETYQHX-UHFFFAOYSA-N,1.0
35,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,1.0
36,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,0.0
37,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,0.0
38,JBMKAUGHUNFTOL-UHFFFAOYSA-N,1.0
39,SBUJHOSQTJFQJX-NOAMYHISSA-N,1.0
40,SONNWYBIRXJNDC-VIFPVBQESA-N,1.0
41,MFDFERRIHVXMIY-UHFFFAOYSA-N,0.0
42,BZKPWHYZMXOIDC-UHFFFAOYSA-N,1.0
43,PVNIIMVLHYAWGP-UHFFFAOYSA-N,0.0
44,IAIWVQXQOWNYOU-UHFFFAOYSA-N,0.0
45,PMRYVIKBURPHAH-UHFFFAOYSA-N,1.0
46,PWWVAXIEGOYWEE-UHFFFAOYSA-N,1.0
47,RJQXTJLFIWVMTO-TYNCELHUSA-N,0.0
48,JGSARLDLIJGVTE-MBNYWOFBSA-N,0.0
49,LQOLIRLGBULYKD-JKIFEVAISA-N,0.0
50,CPJSUEIXXCENMM-UHFFFAOYSA-N,0.0
51,UIQMVEYFGZJHCZ-SSTWWWIQSA-N,1.0
52,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,1.0
53,JLRGJRBPOGGCBT-UHFFFAOYSA-N,1.0
54,LXNHXLLTXMVWPM-UHFFFAOYSA-N,0.0
55,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,1.0
56,UWYHMGVUTGAWSP-JKIFEVAISA-N,0.0
57,PLHJDBGFXBMTGZ-WEVVVXLNSA-N,1.0
58,VIKNJXKGJWUCNN-XGXHKTLJSA-N,1.0
59,ICTXHFFSOAJUMG-SLHNCBLASA-N,1.0
60,ZQDWXGKKHFNSQK-UHFFFAOYSA-N,1.0
61,AVKUERGKIZMTKX-NJBDSQKTSA-N,0.0
62,JNMRHUJNCSQMMB-UHFFFAOYSA-N,1.0
63,IMSSROKUHAOUJS-MJCUULBUSA-N,1.0
64,JEYCTXHKTXCGPB-UHFFFAOYSA-N,1.0
65,HDWIHXWEUNVBIY-UHFFFAOYSA-N,1.0
