,inchikey,y
0,UREBDLICKHMUKA-CXSFZGCWSA-N,297.5
1,DDBREPKUVSBGFI-UHFFFAOYSA-N,11.0
2,NWIBSHFKIJFRCO-WUDYKRTCSA-N,305.6
3,FWJKNZONDWOGMI-UHFFFAOYSA-N,136.4
4,MECHNRXZTMCUDQ-RKHKHRCZSA-N,218.2
5,CMSMOCZEIVJLDB-UHFFFAOYSA-N,157.1
6,PROQIPRRNZUXQM-ZXXIGWHRSA-N,220.8
7,VOXZDWNPVJITMN-ZBRFXRBCSA-N,209.6
8,MRUDNSFOFOQZDA-UHFFFAOYSA-N,134.5
9,XZIDTOHMJBOSOX-UHFFFAOYSA-N,150.1
10,FMMWHPNWAFZXNH-UHFFFAOYSA-N,228.6
11,VYMDGNCVAMGZFE-UHFFFAOYSA-N,174.3
12,GLVAUDGFNGKCSF-UHFFFAOYSA-N,255.4
13,QAOJBHRZQQDFHA-UHFFFAOYSA-N,139.4
14,HCYAFALTSJYZDH-UHFFFAOYSA-N,160.5
15,KRMDCWKBEZIMAB-UHFFFAOYSA-N,174.0
16,BCGWQEUPMDMJNV-UHFFFAOYSA-N,179.7
17,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,226.0
18,QEVHRUUCFGRFIF-MDEJGZGSSA-N,377.2
19,XNOPRXBHLZRZKH-DSZYJQQASA-N,881.1
20,MRBDMNSDAVCSSF-UHFFFAOYSA-N,287.0
21,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,210.5
22,FBPFZTCFMRRESA-JGWLITMVSA-N,292.5
23,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,250.0
24,QVTQYSFCFOGITD-UHFFFAOYSA-N,135.8
25,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,180.4
26,ATCRIUVQKHMXSH-UHFFFAOYSA-N,141.0
27,GZCGUPFRVQAUEE-SLPGGIOYSA-N,286.7
28,REQCZEXYDRLIBE-UHFFFAOYSA-N,208.9
29,NOIIUHRQUVNIDD-UHFFFAOYSA-N,279.2
30,WABPPBHOPMUJHV-UHFFFAOYSA-N,157.2
31,HYZJCKYKOHLVJF-UHFFFAOYSA-N,208.439
32,IUCJMVBFZDHPDX-UHFFFAOYSA-N,214.0
33,UFBJCMHMOXMLKC-UHFFFAOYSA-N,142.8
34,UCTWMZQNUQWSLP-VIFPVBQESA-N,207.9
35,VPHHJAOJUJHJKD-UHFFFAOYSA-N,146.0
36,NTYJJOPFIAHURM-UHFFFAOYSA-N,180.3
37,KNAHARQHSZJURB-UHFFFAOYSA-N,168.6
38,KWTSXDURSIMDCE-QMMMGPOBSA-N,87.4
39,HAWPXGHAZFHHAD-UHFFFAOYSA-N,20.5
40,ZPACYDRSPFRDHO-ROBAGEODSA-N,93.4
41,JOYRKODLDBILNP-UHFFFAOYSA-N,97.2
42,IMONTRJLAWHYGT-ZCPXKWAGSA-N,197.1
43,LXMSZDCAJNLERA-ZHYRCANASA-N,302.3
44,FOCVUCIESVLUNU-UHFFFAOYSA-N,117.2
45,LVDKZNITIUWNER-UHFFFAOYSA-N,170.3
46,NILQLFBWTXNUOE-UHFFFAOYSA-N,108.7
47,SGTNSNPWRIOYBX-UHFFFAOYSA-N,308.3
48,VVNCNSJFMMFHPL-VKHMYHEASA-N,106.068
49,NFACJZMKEDPNKN-UHFFFAOYSA-N,116.7
50,YNVGQYHLRCDXFQ-XGXHKTLJSA-N,176.9
51,JISACBWYRJHSMG-UHFFFAOYSA-N,192.2
52,LNEPOXFFQSENCJ-UHFFFAOYSA-N,273.75
53,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,314.8
54,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,311.2
55,DNXHEGUUPJUMQT-CBZIJGRNSA-N,189.7
56,JWBOIMRXGHLCPP-UHFFFAOYSA-N,194.2
57,PLBHSZGDDKCEHR-LFYFAGGJSA-N,196.5
58,QSLJIVKCVHQPLV-PEMPUTJUSA-N,179.1
59,FMGSKLZLMKYGDP-USOAJAOKSA-N,182.1
60,LHRCREOYAASXPZ-UHFFFAOYSA-N,264.5
61,CGIGDMFJXJATDK-UHFFFAOYSA-N,255.806
62,JJCLXJPUTJMRTM-UHFFFAOYSA-N,185.8
63,SOKUIEGXJHVFDV-UHFFFAOYSA-N,229.0
64,CZIHNRWJTSTCEX-UHFFFAOYSA-N,277.2
65,WHTVZRBIWZFKQO-UHFFFAOYSA-N,232.3
66,SNICXCGAKADSCV-JTQLQIEISA-N,101.7
67,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,305.9
68,VRYMTAVOXVTQEF-UHFFFAOYSA-N,178.2
69,FJLBFSROUSIWMA-UHFFFAOYSA-N,189.3
70,NGVDGCNFYWLIFO-UHFFFAOYSA-N,296.0
71,WXFIGDLSSYIKKV-RCOVLWMOSA-N,170.3
72,HRSANNODOVBCST-UHFFFAOYSA-N,84.3
73,QXTOLYZIJUDOIT-WUKNDPDISA-N,190.2
74,NJBFOOCLYDNZJN-UHFFFAOYSA-N,248.4
75,WBNQDOYYEUMPFS-UHFFFAOYSA-N,59.0
76,KXDAEFPNCMNJSK-UHFFFAOYSA-N,127.978
77,VXTWEDPZMSVFEF-UHFFFAOYSA-N,148.0
78,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,376.7
79,SNIOPGDIGTZGOP-UHFFFAOYSA-N,12.0
80,ACGDKVXYNVEAGU-UHFFFAOYSA-N,162.8
81,MUCZHBLJLSDCSD-UHFFFAOYSA-N,64.5
82,COVZYZSDYWQREU-UHFFFAOYSA-N,234.4
83,JPZOAVGMSDSWSW-UHFFFAOYSA-N,164.6
84,AUFJTVGCSJNQIF-UHFFFAOYSA-N,280.4
85,OTBHHUPVCYLGQO-UHFFFAOYSA-N,118.0
86,LCCNCVORNKJIRZ-UHFFFAOYSA-N,173.5
87,DHMQDGOQFOQNFH-UHFFFAOYSA-N,99.516
88,PPQNQXQZIWHJRB-UHFFFAOYSA-N,-5.0
89,RGLYKWWBQGJZGM-ISLYRVAYSA-N,186.9
90,LOUPRKONTZGTKE-LHHVKLHASA-N,253.7
91,DXBHBZVCASKNBY-UHFFFAOYSA-N,209.1
92,YHQDZJICGQWFHK-UHFFFAOYSA-N,188.2
93,BXNANOICGRISHX-UHFFFAOYSA-N,225.9
94,WIIZWVCIJKGZOK-RKDXNWHRSA-N,343.8
95,PEDCQBHIVMGVHV-UHFFFAOYSA-N,160.0
96,ZDXPYRJPNDTMRX-VKHMYHEASA-N,223.3
97,ZOJBYZNEUISWFT-UHFFFAOYSA-N,36.3
98,IPCSVZSSVZVIGE-UHFFFAOYSA-N,154.12
99,XSQUKJJJFZCRTK-UHFFFAOYSA-N,72.708
100,RHUYHJGZWVXEHW-UHFFFAOYSA-N,1.1
101,OSASVXMJTNOKOY-UHFFFAOYSA-N,61.8
102,AVUYXHYHTTVPRX-UHFFFAOYSA-N,142.3
103,XADCESSVHJOZHK-UHFFFAOYSA-N,111.6
104,PIJVFDBKTWXHHD-HIFRSBDPSA-N,191.8
105,CZMRCDWAGMRECN-UGDNZRGBSA-N,375.4
106,NPPQSCRMBWNHMW-UHFFFAOYSA-N,229.7
107,VEZXCJBBBCKRPI-UHFFFAOYSA-N,70.0
108,CYDMQBQPVICBEU-XRNKAMNCSA-N,450.372
109,BFPYWIDHMRZLRN-SLHNCBLASA-N,211.2
110,DBABZHXKTCFAPX-UHFFFAOYSA-N,218.7
111,BRBKOPJOKNSWSG-UHFFFAOYSA-N,249.2
112,ASWVTGNCAZCNNR-UHFFFAOYSA-N,272.1
113,BIWJNBZANLAXMG-UHFFFAOYSA-N,229.6
114,RJKFOVLPORLFTN-LEKSSAKUSA-N,166.7
115,PDMMFKSKQVNJMI-BLQWBTBKSA-N,196.3
116,HVYWMOMLDIMFJA-DPAQBDIFSA-N,209.291
117,UCSJYZPVAKXKNQ-HZYVHMACSA-N,527.3
118,MBGGBVCUIVRRBF-UHFFFAOYSA-N,311.1
119,ARSRBNBHOADGJU-UHFFFAOYSA-N,54.4
120,RYYVLZVUVIJVGH-UHFFFAOYSA-N,205.867
121,WKSAUQYGYAYLPV-UHFFFAOYSA-N,251.0
122,IKXILDNPCZPPRV-RFMGOVQKSA-N,179.4
123,MJVAVZPDRWSRRC-UHFFFAOYSA-N,113.8
124,IZEKFCXSFNUWAM-UHFFFAOYSA-N,441.5
125,VCRZAKVGPJFABU-UHFFFAOYSA-N,214.1
126,WIKYUJGCLQQFNW-UHFFFAOYSA-N,271.2
127,RGCVKNLCSQQDEP-UHFFFAOYSA-N,304.8
128,ZGUGWUXLJSTTMA-UHFFFAOYSA-N,203.4
129,AVOLMBLBETYQHX-UHFFFAOYSA-N,244.1
130,UGQMRVRMYYASKQ-KQYNXXCUSA-N,396.993
131,XQYZDYMELSJDRZ-UHFFFAOYSA-N,172.2
132,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,300.7
133,VGVRPFIJEJYOFN-UHFFFAOYSA-N,115.7
134,JBMKAUGHUNFTOL-UHFFFAOYSA-N,322.0
135,FBZONXHGGPHHIY-UHFFFAOYSA-N,205.8
136,SBUJHOSQTJFQJX-NOAMYHISSA-N,443.4
137,GVJHHUAWPYXKBD-IEOSBIPESA-N,210.229
138,GOVWOKSKFSBNGD-UHFFFAOYSA-N,211.5
139,NCYVXEGFNDZQCU-UHFFFAOYSA-N,141.1
140,LISFMEBWQUVKPJ-UHFFFAOYSA-N,200.6
141,RYBISXUKVTYYNN-UHFFFAOYSA-N,115.7
142,MFDFERRIHVXMIY-UHFFFAOYSA-N,179.8
143,JWDYCNIAQWPBHD-UHFFFAOYSA-N,161.5
144,ASSKVPFEZFQQNQ-UHFFFAOYSA-N,160.0
145,CFKMVGJGLGKFKI-UHFFFAOYSA-N,93.4
146,MNNBCKASUFBXCO-UHFFFAOYSA-N,191.3
147,PVNIIMVLHYAWGP-UHFFFAOYSA-N,130.7
148,ZKXDGKXYMTYWTB-UHFFFAOYSA-N,90.5
149,WTDRDQBEARUVNC-LURJTMIESA-N,225.0
150,QZVCTJOXCFMACW-UHFFFAOYSA-N,184.5
151,UYXTWWCETRIEDR-UHFFFAOYSA-N,143.415
152,QPQKUYVSJWQSDY-CCEZHUSRSA-N,171.9
153,JCYPECIVGRXBMO-FOCLMDBBSA-N,178.2
154,WRMNZCZEMHIOCP-UHFFFAOYSA-N,98.4
155,DGVVWUTYPXICAM-UHFFFAOYSA-N,73.889
156,RTZKZFJDLAIYFH-UHFFFAOYSA-N,-45.0
157,HDZGCSFEDULWCS-UHFFFAOYSA-N,21.0
158,MCWXGJITAZMZEV-UHFFFAOYSA-N,107.0
159,OFVLGDICTFRJMM-WESIUVDSSA-N,431.953
160,PMRYVIKBURPHAH-UHFFFAOYSA-N,47.4
161,VEQOALNAAJBPNY-UHFFFAOYSA-N,114.8
162,VGEREEWJJVICBM-UHFFFAOYSA-N,291.1
163,VRQVVMDWGGWHTJ-CQSZACIVSA-N,236.8
164,HMHVCUVYZFYAJI-UHFFFAOYSA-N,268.4
165,HYYBABOKPJLUIN-UHFFFAOYSA-N,195.0
166,LQOLIRLGBULYKD-JKIFEVAISA-N,370.9
167,YGCODSQDUUUKIV-UHFFFAOYSA-N,145.4
168,OTLNPYWUJOZPPA-UHFFFAOYSA-N,166.5
169,PLUBXMRUUVWRLT-UHFFFAOYSA-N,100.0
170,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,76.0
171,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,21.4
172,UMGDCJDMYOKAJW-UHFFFAOYSA-N,66.8
173,OEBRKCOSUFCWJD-UHFFFAOYSA-N,14.7
174,UMFJAHHVKNCGLG-UHFFFAOYSA-N,61.0
175,CVXBEEMKQHEXEN-UHFFFAOYSA-N,153.0
176,FFEARJCKVFRZRR-BYPYZUCNSA-N,139.4
177,FDDDEECHVMSUSB-UHFFFAOYSA-N,196.0
178,HJJPJSXJAXAIPN-UHFFFAOYSA-N,81.1
179,BHHGXPLMPWCGHP-UHFFFAOYSA-N,90.6
180,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,8.889
181,BDAGIHXWWSANSR-UHFFFAOYSA-N,29.9
182,SKZKKFZAGNVIMN-UHFFFAOYSA-N,146.3
183,WPYMKLBDIGXBTP-UHFFFAOYSA-N,111.4
184,MBABOKRGFJTBAE-UHFFFAOYSA-N,104.0
185,MHKBMNACOMRIAW-UHFFFAOYSA-N,151.2
186,DGEZNRSVGBDHLK-UHFFFAOYSA-N,164.756
187,YPHMISFOHDHNIV-FSZOTQKASA-N,251.2
188,ZCCUUQDIBDJBTK-UHFFFAOYSA-N,173.1
189,QWLHJVDRPZNVBS-UHFFFAOYSA-N,112.0
190,PLHJDBGFXBMTGZ-WEVVVXLNSA-N,167.5
191,NOEGNKMFWQHSLB-UHFFFAOYSA-N,79.4
192,SDXAWLJRERMRKF-UHFFFAOYSA-N,90.5
193,HNYOPLTXPVRDBG-UHFFFAOYSA-N,150.0
194,KFZMGEQAYNKOFK-UHFFFAOYSA-N,11.667
195,CSCPPACGZOOCGX-UHFFFAOYSA-N,-17.0
196,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,85.0
197,HHVIBTZHLRERCL-UHFFFAOYSA-N,143.0
198,VHHHONWQHHHLTI-UHFFFAOYSA-N,61.3
199,FEBLZLNTKCEFIT-VSXGLTOVSA-N,303.7
200,CWERGRDVMFNCDR-UHFFFAOYSA-N,99.8
201,ZMXDDKWLCZADIW-UHFFFAOYSA-N,57.8
202,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,147.3
203,OTEKOJQFKOIXMU-UHFFFAOYSA-N,153.0
204,DBPWSSGDRRHUNT-CEGNMAFCSA-N,259.9
205,AVKUERGKIZMTKX-NJBDSQKTSA-N,367.4
206,YGSDEFSMJLZEOE-UHFFFAOYSA-N,157.0
207,LIGACIXOYTUXAW-UHFFFAOYSA-N,78.4
208,LOTKRQAVGJMPNV-UHFFFAOYSA-N,132.8
209,HNDVDQJCIGZPNO-YFKPBYRVSA-N,282.0
210,BDERNNFJNOPAEC-UHFFFAOYSA-N,15.0
211,GEWRKGDRYZIFNP-UHFFFAOYSA-N,300.9
212,LRHPLDYGYMQRHN-UHFFFAOYSA-N,35.0
213,AMQJEAYHLZJPGS-UHFFFAOYSA-N,48.9
214,UHOVQNZJYSORNB-UHFFFAOYSA-N,-11.0
215,PSGAAPLEWMOORI-PEINSRQWSA-N,213.2
216,WDJUZGPOPHTGOT-XUDUSOBPSA-N,269.5
217,JEYCTXHKTXCGPB-UHFFFAOYSA-N,199.9
218,RGCKGOZRHPZPFP-UHFFFAOYSA-N,228.0
219,QFMDFTQOJHFVNR-UHFFFAOYSA-N,212.1
220,XWALNWXLMVGSFR-HLXURNFRSA-N,186.2
221,GPTXWRGISTZRIO-UHFFFAOYSA-N,165.9
222,OFEZSBMBBKLLBJ-BAJZRUMYSA-N,333.1
223,QIVBCDIJIAJPQS-VIFPVBQESA-N,224.7
224,UTGQNNCQYDRXCH-UHFFFAOYSA-N,297.0
225,AEUTYOVWOVBAKS-UWVGGRQHSA-N,113.7
226,OTMSDBZUPAUEDD-UHFFFAOYSA-N,-135.0
227,VGGSQFUCUMXWEO-UHFFFAOYSA-N,-136.0
228,INQOMBQAUSQDDS-UHFFFAOYSA-N,7.798
229,FJBFPHVGVWTDIP-UHFFFAOYSA-N,97.0
230,JPOXNPPZZKNXOV-UHFFFAOYSA-N,11.0
231,MWWATHDPGQKSAR-UHFFFAOYSA-N,-51.0
232,HRYZWHHZPQKTII-UHFFFAOYSA-N,-43.0
233,BZHJMEDXRYGGRV-UHFFFAOYSA-N,-17.8
234,QUSNBJAOOMFDIB-UHFFFAOYSA-N,-17.0
235,WEVYAHXRMPXWCK-UHFFFAOYSA-N,2.0
236,DNJIEGIFACGWOD-UHFFFAOYSA-N,-17.2
237,YMWUJEATGCHHMB-UHFFFAOYSA-N,39.5
238,ZHNUHDYFZUAESO-UHFFFAOYSA-N,175.0
239,QMMFVYPAHWMCMS-UHFFFAOYSA-N,-36.7
240,DIKBFYAXUHHXCS-UHFFFAOYSA-N,44.0
241,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,19.4
242,FMWLUWPQPKEARP-UHFFFAOYSA-N,1.3
243,ULYZAYCEDJDHCC-UHFFFAOYSA-N,-32.0
244,FMKOJHQHASLBPH-UHFFFAOYSA-N,42.0
245,SCYULBFZEHDVBN-UHFFFAOYSA-N,-10.0
246,LGXVIGDEPROXKC-UHFFFAOYSA-N,-25.0
247,WETWJCDKMRHUPV-UHFFFAOYSA-N,4.4
248,OKJPEAGHQZHRQV-UHFFFAOYSA-N,204.0
249,LYGJENNIWJXYER-UHFFFAOYSA-N,35.0
250,KTQYJQFGNYHXMB-UHFFFAOYSA-N,-32.2
251,OZDGMOYKSFPLSE-UHFFFAOYSA-N,-4.0
252,OGGXGZAMXPVRFZ-UHFFFAOYSA-N,109.4
253,XNNQFQFUQLJSQT-UHFFFAOYSA-N,18.6
254,YBRBMKDOPFTVDT-UHFFFAOYSA-N,-9.0
255,CYRMSUTZVYGINF-UHFFFAOYSA-N,2.0
256,PXBRQCKWGAHEHS-UHFFFAOYSA-N,11.0
257,IJOOHPMOJXWVHK-UHFFFAOYSA-N,-18.0
258,LIKFHECYJZWXFJ-UHFFFAOYSA-N,-9.0
259,JLUFWMXJHAVVNN-UHFFFAOYSA-N,-13.0
260,DPOZWTRVXPUOQW-UHFFFAOYSA-N,9.5
261,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,-48.0
262,KPSSIOMAKSHJJG-UHFFFAOYSA-N,37.0
263,HFFLGKNGCAIQMO-UHFFFAOYSA-N,14.9
264,RHQDFWAXVIIEBN-UHFFFAOYSA-N,29.4
265,CIHOLLKRGTVIJN-UHFFFAOYSA-N,35.0
266,GQIUQDDJKHLHTB-UHFFFAOYSA-N,10.6
267,OGVPXEPSTZMAFF-UHFFFAOYSA-N,120.3
268,QIONYIKHPASLHO-UHFFFAOYSA-N,97.0
269,PJGSXYOJTGTZAV-UHFFFAOYSA-N,23.9
270,IUGYQRQAERSCNH-UHFFFAOYSA-N,68.3
271,HCMBPASAOZIEDZ-UHFFFAOYSA-N,82.2
272,PVFOMCVHYWHZJE-UHFFFAOYSA-N,31.0
273,YNJBWRMUSHSURL-UHFFFAOYSA-N,66.344
274,DTQVDTLACAAQTR-UHFFFAOYSA-N,-3.0
275,IVDFJHOHABJVEH-UHFFFAOYSA-N,77.2
276,SLGOCMATMKJJCE-UHFFFAOYSA-N,11.8
