,inchikey,y
0,MRUDNSFOFOQZDA-UHFFFAOYSA-N,2.33
1,RAFFVQBMVYYTQS-UHFFFAOYSA-N,2.59
2,QAOJBHRZQQDFHA-UHFFFAOYSA-N,2.59
3,QVTQYSFCFOGITD-UHFFFAOYSA-N,2.54
4,UFBJCMHMOXMLKC-UHFFFAOYSA-N,4.06
5,CXKCZFDUOYMOOP-UHFFFAOYSA-N,3.27
6,VPHHJAOJUJHJKD-UHFFFAOYSA-N,3.31
7,KXDAEFPNCMNJSK-UHFFFAOYSA-N,2.09
8,VZGDMQKNWNREIO-UHFFFAOYSA-N,2.98
9,ZOJBYZNEUISWFT-UHFFFAOYSA-N,5.061
10,DNIAPMSPPWPWGF-UHFFFAOYSA-N,0.49
11,VEZXCJBBBCKRPI-UHFFFAOYSA-N,2.875
12,MJVAVZPDRWSRRC-UHFFFAOYSA-N,4.54
13,CFKMVGJGLGKFKI-UHFFFAOYSA-N,3.8
14,WRMNZCZEMHIOCP-UHFFFAOYSA-N,2.41
15,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0.678
16,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,2.77
17,UMGDCJDMYOKAJW-UHFFFAOYSA-N,1.68
18,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,1.009
19,DENRZWYUOJLTMF-UHFFFAOYSA-N,2.302
20,SKZKKFZAGNVIMN-UHFFFAOYSA-N,2.76
21,SQAINHDHICKHLX-UHFFFAOYSA-N,3.423
22,QWLHJVDRPZNVBS-UHFFFAOYSA-N,4.26
23,OKKJLVBELUTLKV-UHFFFAOYSA-N,0.334
24,KFZMGEQAYNKOFK-UHFFFAOYSA-N,1.118
25,CSCPPACGZOOCGX-UHFFFAOYSA-N,0.796
26,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,0.548
27,HHVIBTZHLRERCL-UHFFFAOYSA-N,0.8
28,YGSDEFSMJLZEOE-UHFFFAOYSA-N,2.49
29,LIGACIXOYTUXAW-UHFFFAOYSA-N,5.824
30,LOTKRQAVGJMPNV-UHFFFAOYSA-N,4.71
31,RARSHUDCJQSEFJ-UHFFFAOYSA-N,3.12
32,BDERNNFJNOPAEC-UHFFFAOYSA-N,1.254
33,AMQJEAYHLZJPGS-UHFFFAOYSA-N,1.97
34,UHOVQNZJYSORNB-UHFFFAOYSA-N,2.88
35,XRHGYUZYPHTUJZ-UHFFFAOYSA-N,3.11
36,WEVYAHXRMPXWCK-UHFFFAOYSA-N,0.723
37,JJWLVOIRVHMVIS-UHFFFAOYSA-N,2.137
38,YBRBMKDOPFTVDT-UHFFFAOYSA-N,2.103
39,DKGAVHZHDRPRBM-UHFFFAOYSA-N,1.209
40,YFDSDPIBEUFTMI-UHFFFAOYSA-N,3.113
41,KPSSIOMAKSHJJG-UHFFFAOYSA-N,2.13
42,MSXVEPNJUHWQHW-UHFFFAOYSA-N,1.827
43,PJGSXYOJTGTZAV-UHFFFAOYSA-N,1.558
44,IUGYQRQAERSCNH-UHFFFAOYSA-N,2.746
45,QXLPXWSKPNOQLE-UHFFFAOYSA-N,1.677
46,AFOSIXZFDONLBT-UHFFFAOYSA-N,4.41
47,KDSNLYIMUZNERS-UHFFFAOYSA-N,2.738
48,LRDFRRGEGBBSRN-UHFFFAOYSA-N,1.381
49,AMIMRNSIRUDHCM-UHFFFAOYSA-N,2.567
50,STNJBCKSHOAVAJ-UHFFFAOYSA-N,3.67
51,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,1.254
