,inchikey,y
0,YVGGHNCTFXOJCH-UHFFFAOYSA-N,7.47
1,UFBJCMHMOXMLKC-UHFFFAOYSA-N,4.592
2,NFACJZMKEDPNKN-UHFFFAOYSA-N,9.088
3,SNIOPGDIGTZGOP-UHFFFAOYSA-N,3.851
4,VZGDMQKNWNREIO-UHFFFAOYSA-N,3.643
5,LCCNCVORNKJIRZ-UHFFFAOYSA-N,8.269
6,RGLYKWWBQGJZGM-ISLYRVAYSA-N,5.37
7,DXBHBZVCASKNBY-UHFFFAOYSA-N,6.219
8,BIWJNBZANLAXMG-UHFFFAOYSA-N,6.62
9,WKSAUQYGYAYLPV-UHFFFAOYSA-N,4.632
10,MJVAVZPDRWSRRC-UHFFFAOYSA-N,5.545
11,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,5.211
12,VGVRPFIJEJYOFN-UHFFFAOYSA-N,6.006
13,MCWXGJITAZMZEV-UHFFFAOYSA-N,5.143
14,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,5.413
15,UMGDCJDMYOKAJW-UHFFFAOYSA-N,3.927
16,OEBRKCOSUFCWJD-UHFFFAOYSA-N,9.415
17,CVXBEEMKQHEXEN-UHFFFAOYSA-N,5.304
18,OKKJLVBELUTLKV-UHFFFAOYSA-N,0.989
19,CSCPPACGZOOCGX-UHFFFAOYSA-N,0.672
20,HEDRZPFGACZZDS-UHFFFAOYSA-N,3.254
21,VHHHONWQHHHLTI-UHFFFAOYSA-N,4.943
22,BDERNNFJNOPAEC-UHFFFAOYSA-N,0.944
23,UOCLXMDMGBRAIB-UHFFFAOYSA-N,4.076
24,DFBKLUNHFCTMDC-GKRDHZSOSA-N,6.428
25,IAKOZHOLGAGEJT-UHFFFAOYSA-N,7.335
26,WEVYAHXRMPXWCK-UHFFFAOYSA-N,1.057
27,DNJIEGIFACGWOD-UHFFFAOYSA-N,5.563
28,IAYPIBMASNFSPL-UHFFFAOYSA-N,2.343
29,DIKBFYAXUHHXCS-UHFFFAOYSA-N,3.74
30,FRCCEHPWNOQAEU-UHFFFAOYSA-N,6.512
31,HECLRDQVFMWTQS-UHFFFAOYSA-N,4.1
32,HJOVHMDZYOCNQW-UHFFFAOYSA-N,3.061
33,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,1.826
34,KNKRKFALVUDBJE-UHFFFAOYSA-N,3.306
35,WIHMGGWNMISDNJ-UHFFFAOYSA-N,3.691
36,UBOXGVDOUJQMTN-UHFFFAOYSA-N,3.492
37,XSTXAVWGXDQKEL-UHFFFAOYSA-N,3.378
38,HRPVXLWXLXDGHG-UHFFFAOYSA-N,2.648
39,QPFMBZIOSGYJDE-UHFFFAOYSA-N,3.469
40,IISBACLAFKSPIT-UHFFFAOYSA-N,4.251
41,GRWFGVWFFZKLTI-UHFFFAOYSA-N,3.522
42,CWRYPZZKDGJXCA-UHFFFAOYSA-N,5.379
43,FVHAWXWFPBPFOS-UHFFFAOYSA-N,4.556
44,XCSNRORTQRKCHB-UHFFFAOYSA-N,4.611
45,JUVIOZPCNVVQFO-HBGVWJBISA-N,8.028
46,FLKPEMZONWLCSK-UHFFFAOYSA-N,3.613
47,DOIRQSBPFJWKBE-UHFFFAOYSA-N,4.876
48,YNPNZTXNASCQKK-UHFFFAOYSA-N,5.366
49,IRIAEXORFWYRCZ-UHFFFAOYSA-N,4.385
50,UBUCNCOMADRQHX-UHFFFAOYSA-N,4.405
51,IZUPBVBPLAPZRR-UHFFFAOYSA-N,5.522
52,LINPIYWFGCPVIE-UHFFFAOYSA-N,5.147
53,BFCFYVKQTRLZHA-UHFFFAOYSA-N,3.662
54,OWZPCEFYPSAJFR-UHFFFAOYSA-N,6.0
55,OXNIZHLAWKMVMX-UHFFFAOYSA-N,3.431
56,SQFLFRQWPBEDHM-UHFFFAOYSA-N,4.266
57,RZKKOBGFCAHLCZ-UHFFFAOYSA-N,4.242
58,VMPITZXILSNTON-UHFFFAOYSA-N,4.011
59,LHGVFZTZFXWLCP-UHFFFAOYSA-N,3.68
60,JTPNRXUCIXHOKM-UHFFFAOYSA-N,5.007
61,SMWDFEZZVXVKRB-UHFFFAOYSA-N,3.531
62,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,4.909
63,YXVFYQXJAXKLAK-UHFFFAOYSA-N,4.667
64,GJCOSYZMQJWQCA-UHFFFAOYSA-N,3.953
65,FCEHBMOGCRZNNI-UHFFFAOYSA-N,3.357
66,CTQNGGLPUBDAKN-UHFFFAOYSA-N,3.79
67,QWVGKYWNOKOFNN-UHFFFAOYSA-N,3.855
68,RFFLAFLAYFXFSW-UHFFFAOYSA-N,4.806
69,AKCRQHGQIJBRMN-UHFFFAOYSA-N,5.461
70,RNVCVTLRINQCPJ-UHFFFAOYSA-N,5.314
71,ISPYQTSUDJAMAB-UHFFFAOYSA-N,4.238
72,AVYGCQXNNJPXSS-UHFFFAOYSA-N,4.744
73,LHJGJYXLEPZJPM-UHFFFAOYSA-N,4.921
74,PDQAZBWRQCGBEV-UHFFFAOYSA-N,3.588
75,VYZAHLCBVHPDDF-UHFFFAOYSA-N,5.403
76,REQPQFUJGGOFQL-UHFFFAOYSA-N,4.856
77,AUZONCFQVSMFAP-UHFFFAOYSA-N,6.393
78,RWGFKTVRMDUZSP-UHFFFAOYSA-N,3.684
79,LQNUZADURLCDLV-UHFFFAOYSA-N,3.659
80,QZYHIOPPLUPUJF-UHFFFAOYSA-N,4.077
81,WDCYWAQPCXBPJA-UHFFFAOYSA-N,3.592
82,YHQGMYUVUMAZJR-UHFFFAOYSA-N,4.867
83,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,4.06
84,CZGCEKJOLUNIFY-UHFFFAOYSA-N,4.31
85,BTJIUGUIPKRLHP-UHFFFAOYSA-N,4.072
86,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,3.761
87,PPBRXRYQALVLMV-UHFFFAOYSA-N,3.451
88,HUMNYLRZRPPJDN-UHFFFAOYSA-N,3.976
89,AFBPFSWMIHJQDM-UHFFFAOYSA-N,5.791
90,ICUTUKXCWQYESQ-UHFFFAOYSA-N,7.478
91,JDUYPUMQALQRCN-UHFFFAOYSA-N,6.118
92,USIUVYZYUHIAEV-UHFFFAOYSA-N,5.405
93,FCSHMCFRCYZTRQ-UHFFFAOYSA-N,3.532
94,OJGMBLNIHDZDGS-UHFFFAOYSA-N,5.46
95,QKFJKGMPGYROCL-UHFFFAOYSA-N,6.131
96,FULZLIGZKMKICU-UHFFFAOYSA-N,3.412
97,BHAAPTBBJKJZER-UHFFFAOYSA-N,5.572
98,FLVIGYVXZHLUHP-UHFFFAOYSA-N,2.836
99,KUFFULVDNCHOFZ-UHFFFAOYSA-N,4.765
100,GZFGOTFRPZRKDS-UHFFFAOYSA-N,4.464
101,URLKBWYHVLBVBO-UHFFFAOYSA-N,3.517
102,IWDCLRJOBJJRNH-UHFFFAOYSA-N,3.71
103,OCJBOOLMMGQPQU-UHFFFAOYSA-N,4.13
104,QSNSCYSYFYORTR-UHFFFAOYSA-N,6.407
105,BRLQWZUYTZBJKN-UHFFFAOYSA-N,3.6
106,SUVIGLJNEAMWEG-UHFFFAOYSA-N,6.104
107,WSLDOOZREJYCGB-UHFFFAOYSA-N,2.527
108,SZIFAVKTNFCBPC-UHFFFAOYSA-N,2.582
109,VVJKKWFAADXIJK-UHFFFAOYSA-N,3.128
110,PIICEJLVQHRZGT-UHFFFAOYSA-N,3.356
111,LYCAIKOWRPUZTN-UHFFFAOYSA-N,0.117
112,FERIUCNNQQJTOY-UHFFFAOYSA-N,3.16
113,UAOMVDZJSHZZME-UHFFFAOYSA-N,2.354
114,IVSZLXZYQVIEFR-UHFFFAOYSA-N,3.467
115,RLSSMJSEOOYNOY-UHFFFAOYSA-N,3.76
116,PNPCRKVUWYDDST-UHFFFAOYSA-N,6.106
117,JJYPMNFTHPTTDI-UHFFFAOYSA-N,5.167
118,AQNQQHJNRPDOQV-UHFFFAOYSA-N,3.89
119,YXFVVABEGXRONW-UHFFFAOYSA-N,2.975
120,MVPPADPHJFYWMZ-UHFFFAOYSA-N,3.937
121,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,3.85
122,HPNMFZURTQLUMO-UHFFFAOYSA-N,3.116
123,YTPLMLYBLZKORZ-UHFFFAOYSA-N,2.423
124,JUJWROOIHBZHMG-UHFFFAOYSA-N,1.829
125,ZBCBWPMODOFKDW-UHFFFAOYSA-N,2.98
126,BBMCTIGTTCKYKF-UHFFFAOYSA-N,3.233
127,XXJWXESWEXIICW-UHFFFAOYSA-N,1.531
128,NLXGURFLBLRZRO-UHFFFAOYSA-N,2.935
129,ISRUGXGCCGIOQO-UHFFFAOYSA-N,5.22
130,KPWDGTGXUYRARH-UHFFFAOYSA-N,3.004
131,RDYMFSUJUZBWLH-UHFFFAOYSA-N,6.126
132,XZZNDPSIHUTMOC-UHFFFAOYSA-N,5.514
133,QGLZXHRNAYXIBU-WEVVVXLNSA-N,5.514
134,MLGCXEBRWGEOQX-UHFFFAOYSA-N,4.711
135,BJQHLKABXJIVAM-UHFFFAOYSA-N,4.55
136,BSWWXRFVMJHFBN-UHFFFAOYSA-N,6.906
137,SPSSULHKWOKEEL-UHFFFAOYSA-N,4.409
138,HFZWRUODUSTPEG-UHFFFAOYSA-N,4.797
139,YAMHXTCMCPHKLN-UHFFFAOYSA-N,1.187
140,VJFUPGQZSXIULQ-CDPVRPLUSA-N,7.341
141,KMAQZIILEGKYQZ-UHFFFAOYSA-N,3.839
142,JXSJBGJIGXNWCI-UHFFFAOYSA-N,7.658
143,LOCWBQIWHWIRGN-UHFFFAOYSA-N,4.489
144,ZNOLGFHPUIJIMJ-UHFFFAOYSA-N,7.753
145,YBQZXXMEJHZYMB-UHFFFAOYSA-N,4.653
146,DIOQZVSQGTUSAI-UHFFFAOYSA-N,3.898
147,ROSDSFDQCJNGOL-UHFFFAOYSA-N,2.955
148,STCOOQWBFONSKY-UHFFFAOYSA-N,4.863
149,CYTYCFOTNPOANT-UHFFFAOYSA-N,3.964
150,BBEAQIROQSPTKN-UHFFFAOYSA-N,6.037
151,NIQCNGHVCWTJSM-UHFFFAOYSA-N,3.77
152,IYYZUPMFVPLQIF-UHFFFAOYSA-N,5.62
153,JWAZRIHNYRIHIV-UHFFFAOYSA-N,4.61
154,KUAZQDVKQLNFPE-UHFFFAOYSA-N,6.059
155,MGFYIUFZLHCRTH-UHFFFAOYSA-N,2.736
156,ISAVYTVYFVQUDY-UHFFFAOYSA-N,6.36
157,XEKOWRVHYACXOJ-UHFFFAOYSA-N,2.078
158,YHRUOJUYPBUZOS-UHFFFAOYSA-N,2.606
159,DURPTKYDGMDSBL-UHFFFAOYSA-N,3.7
160,LHHGDZSESBACKH-UHFFFAOYSA-N,6.394
161,ZEFNOZRLAWVAQF-UHFFFAOYSA-N,3.135
162,YXIWHUQXZSMYRE-UHFFFAOYSA-N,4.494
163,ASHGTJPOSUFTGB-UHFFFAOYSA-N,3.48
164,KFUSEUYYWQURPO-OWOJBTEDSA-N,2.644
165,GVEPBJHOBDJJJI-UHFFFAOYSA-N,6.26
166,RLBIQVVOMOPOHC-UHFFFAOYSA-N,7.236
167,FHIVAFMUCKRCQO-UHFFFAOYSA-N,8.182
168,QPJDMGCKMHUXFD-UHFFFAOYSA-N,6.151
169,CPEKAXYCDKETEN-UHFFFAOYSA-N,4.934
170,VLCDUOXHFNUCKK-UHFFFAOYSA-N,3.8
171,ZXVONLUNISGICL-UHFFFAOYSA-N,4.792
172,NCBZRJODKRCREW-UHFFFAOYSA-N,5.643
173,HBNYJWAFDZLWRS-UHFFFAOYSA-N,5.307
174,KQCMTOWTPBNWDB-UHFFFAOYSA-N,5.434
175,NXXYKOUNUYWIHA-UHFFFAOYSA-N,4.038
176,MLPVBIWIRCKMJV-UHFFFAOYSA-N,4.178
177,MOYAFQVGZZPNRA-UHFFFAOYSA-N,4.728
178,HRXZRAXKKNUKRF-UHFFFAOYSA-N,6.129
179,LIMQQADUEULBSO-UHFFFAOYSA-N,5.428
180,DYSXLQBUUOPLBB-UHFFFAOYSA-N,5.441
181,CEOCDNVZRAIOQZ-UHFFFAOYSA-N,4.674
182,QUIMTLZDMCNYGY-UHFFFAOYSA-N,4.66
183,MDKCFLQDBWCQCV-UHFFFAOYSA-N,6.54
184,GMEHFXXZSWDEDB-UHFFFAOYSA-N,3.872
185,UQRLKWGPEVNVHT-UHFFFAOYSA-N,5.16
186,QVLAWKAXOMEXPM-UHFFFAOYSA-N,3.845
187,AVQQQNCBBIEMEU-UHFFFAOYSA-N,1.603
188,RRJUYQOFOMFVQS-UHFFFAOYSA-N,5.43
189,QZYNWJQFTJXIRN-UHFFFAOYSA-N,5.133
190,GUMCAKKKNKYFEB-UHFFFAOYSA-N,4.762
191,GNOIPBMMFNIUFM-UHFFFAOYSA-N,1.429
192,LYAGTVMJGHTIDH-UHFFFAOYSA-N,3.338
193,LFULEKSKNZEWOE-UHFFFAOYSA-N,4.639
194,JJPSZKIOGBRMHK-UHFFFAOYSA-N,3.617
195,KEWNKZNZRIAIAK-UHFFFAOYSA-N,5.609
196,RDYMFSUJUZBWLH-BEJSPLBDSA-N,5.538
197,MGLWZSOBALDPEK-UHFFFAOYSA-N,3.63
198,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,6.21
199,AAPVQEMYVNZIOO-DDYGQXQVSA-N,5.3
200,XDDAORKBJWWYJS-UHFFFAOYSA-N,3.908
201,CGSLYBDCEGBZCG-UHFFFAOYSA-N,6.383
202,RHPUJHQBPORFGV-UHFFFAOYSA-N,5.692
203,ZSDSQXJSNMTJDA-UHFFFAOYSA-N,6.24
204,YRRKLBAKDXSTNC-WEVVVXLNSA-N,5.9
205,XQNAUQUKWRBODG-UHFFFAOYSA-N,5.876
206,CRQQGFGUEAVUIL-UHFFFAOYSA-N,6.217
207,NQQVFXUMIDALNH-UHFFFAOYSA-N,3.678
208,IVUXTESCPZUGJC-UHFFFAOYSA-N,4.994
209,NMWSKOLWZZWHPL-UHFFFAOYSA-N,5.642
210,FPWNLURCHDRMHC-UHFFFAOYSA-N,5.652
211,IZJDOKYDEWTZSO-UHFFFAOYSA-N,6.099
212,MWBPRDONLNQCFV-UHFFFAOYSA-N,6.728
213,QORAVNMWUNPXAO-UHFFFAOYSA-N,6.988
214,SYJFEGQWDCRVNX-UHFFFAOYSA-N,5.138
215,SBPBAQFWLVIOKP-UHFFFAOYSA-N,8.545
216,CMVQZRLQEOAYSW-UHFFFAOYSA-N,4.627
217,VHJLVAABSRFDPM-QWWZWVQMSA-N,3.757
218,OMWQUXGVXQELIX-UHFFFAOYSA-N,6.397
219,RUVINXPYWBROJD-ONEGZZNKSA-N,7.337
220,NKDFYOWSKOHCCO-YPVLXUMRSA-N,5.291
221,NNKVPIKMPCQWCG-UHFFFAOYSA-N,6.618
222,TWFZGCMQGLPBSX-UHFFFAOYSA-N,6.269
223,FTNJWQUOZFUQQJ-NDAWSKJSSA-N,6.064
224,PJYYBCXMCWDUAZ-JJJZTNILSA-N,6.424
225,IRUJZVNXZWPBMU-UHFFFAOYSA-N,7.375
226,VGVIKVCCUATMNG-UHFFFAOYSA-N,5.64
227,MGRRXBWTLBJEMS-YADHBBJMSA-N,8.164
228,QGHREAKMXXNCOA-UHFFFAOYSA-N,4.33
229,MOOFYEJFXBSZGE-LQGKIZFRSA-N,6.649
230,QHOQHJPRIBSPCY-UHFFFAOYSA-N,9.154
231,MWWBDLRPMWTLRX-UHFFFAOYSA-N,4.288
232,RDYMFSUJUZBWLH-LLXUDWAZSA-N,5.428
233,BFTGQIQVUVTBJU-UHFFFAOYSA-N,5.924
234,QQQYTWIFVNKMRW-UHFFFAOYSA-N,7.841
235,NFGXHKASABOEEW-LDRANXPESA-N,5.475
236,WVQBLGZPHOPPFO-UHFFFAOYSA-N,4.339
237,CAWXEEYDBZRFPE-UHFFFAOYSA-N,3.22
238,NYPJDWWKZLNGGM-UHFFFAOYSA-N,7.99
239,KAATUXNTWXVJKI-UHFFFAOYSA-N,9.063
240,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,7.902
241,OWZREIFADZCYQD-NSHGMRRFSA-N,10.064
242,ZQEIXNIJLIKNTD-UHFFFAOYSA-N,3.734
243,NYPJDWWKZLNGGM-RPWUZVMVSA-N,9.192
244,ZXQYGBMAQZUVMI-UNOMPAQXSA-N,7.222
245,ZQEIXNIJLIKNTD-GFCCVEGCSA-N,3.824
246,RMOGWMIKYWRTKW-UONOGXRCSA-N,4.01
247,OMFRMAHOUUJSGP-JHEGMOCKSA-N,8.327
248,DUFVKSUJRWYZQP-UHFFFAOYSA-N,5.633
249,QYPNKSZPJQQLRK-UHFFFAOYSA-N,4.307
250,WFDXOXNFNRHQEC-GHRIWEEISA-N,6.614
251,YWTYJOPNNQFBPC-UHFFFAOYSA-N,4.168
