,inchikey,y
0,NWIBSHFKIJFRCO-WUDYKRTCSA-N,4.047
1,GMHKMTDVRCWUDX-UHFFFAOYSA-N,2.41
2,MECHNRXZTMCUDQ-RKHKHRCZSA-N,4.598
3,CMSMOCZEIVJLDB-UHFFFAOYSA-N,3.417
4,YVGGHNCTFXOJCH-UHFFFAOYSA-N,3.61
5,VYMDGNCVAMGZFE-UHFFFAOYSA-N,3.1
6,UEJJHQNACJXSKW-UHFFFAOYSA-N,3.359
7,GLVAUDGFNGKCSF-UHFFFAOYSA-N,2.74
8,HCYAFALTSJYZDH-UHFFFAOYSA-N,2.851
9,KRMDCWKBEZIMAB-UHFFFAOYSA-N,2.938
10,BCGWQEUPMDMJNV-UHFFFAOYSA-N,3.05
11,KLBQZWRITKRQQV-UHFFFAOYSA-N,2.571
12,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,3.351
13,QEVHRUUCFGRFIF-MDEJGZGSSA-N,3.161
14,CZTQZXZIADLWOZ-CRAIPNDOSA-N,2.221
15,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,2.117
16,FBPFZTCFMRRESA-JGWLITMVSA-N,1.059
17,HIMXGTXNXJYFGB-UHFFFAOYSA-N,1.436
18,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,2.955
19,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,1.17
20,ODKNJVUHOIMIIZ-RRKCRQDMSA-N,3.059
21,GZCGUPFRVQAUEE-SLPGGIOYSA-N,0.844
22,FIPWRIJSWJWJAI-UHFFFAOYSA-N,1.741
23,REQCZEXYDRLIBE-UHFFFAOYSA-N,2.082
24,NOIIUHRQUVNIDD-UHFFFAOYSA-N,2.244
25,WABPPBHOPMUJHV-UHFFFAOYSA-N,2.174
26,IUCJMVBFZDHPDX-UHFFFAOYSA-N,4.196
27,GHASVSINZRGABV-UHFFFAOYSA-N,2.752
28,UFBJCMHMOXMLKC-UHFFFAOYSA-N,3.788
29,STECJAGHUSJQJN-FWXGHANASA-N,2.059
30,KNAHARQHSZJURB-UHFFFAOYSA-N,2.134
31,XZTYGFHCIAKPGJ-UHFFFAOYSA-N,1.996
32,JOYRKODLDBILNP-UHFFFAOYSA-N,1.692
33,PXZAWHSJYIECNQ-UHFFFAOYSA-N,3.597
34,LVDKZNITIUWNER-UHFFFAOYSA-N,3.046
35,NILQLFBWTXNUOE-UHFFFAOYSA-N,2.649
36,SGTNSNPWRIOYBX-UHFFFAOYSA-N,3.445
37,RYYJMLJORHNGST-UHFFFAOYSA-N,2.932
38,VVNCNSJFMMFHPL-VKHMYHEASA-N,1.384
39,NFACJZMKEDPNKN-UHFFFAOYSA-N,2.757
40,JISACBWYRJHSMG-UHFFFAOYSA-N,4.065
41,LNEPOXFFQSENCJ-UHFFFAOYSA-N,3.468
42,XUJNEKJLAYXESH-REOHCLBHSA-N,1.807
43,CGIGDMFJXJATDK-UHFFFAOYSA-N,5.17
44,KMGARVOVYXNAOF-UHFFFAOYSA-N,2.11
45,FJLBFSROUSIWMA-UHFFFAOYSA-N,2.638
46,WXFIGDLSSYIKKV-RCOVLWMOSA-N,2.843
47,HRSANNODOVBCST-UHFFFAOYSA-N,2.406
48,QRXWMOHMRWLFEY-UHFFFAOYSA-N,2.04
49,NJBFOOCLYDNZJN-UHFFFAOYSA-N,3.209
50,NYMGNSNKLVNMIA-UHFFFAOYSA-N,2.691
51,CWRVKFFCRWGWCS-UHFFFAOYSA-N,2.994
52,WBNQDOYYEUMPFS-UHFFFAOYSA-N,2.667
53,TWBYWOBDOCUKOW-UHFFFAOYSA-N,1.391
54,PNVJTZOFSHSLTO-UHFFFAOYSA-N,3.189
55,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,1.597
56,SNIOPGDIGTZGOP-UHFFFAOYSA-N,3.335
57,ACGDKVXYNVEAGU-UHFFFAOYSA-N,2.276
58,MUCZHBLJLSDCSD-UHFFFAOYSA-N,4.566
59,VZGDMQKNWNREIO-UHFFFAOYSA-N,1.816
60,LCCNCVORNKJIRZ-UHFFFAOYSA-N,5.163
61,BXNANOICGRISHX-UHFFFAOYSA-N,4.446
