,inchikey,y
0,UREBDLICKHMUKA-CXSFZGCWSA-N,263.0
1,DDBREPKUVSBGFI-UHFFFAOYSA-N,174.0
2,FWJKNZONDWOGMI-UHFFFAOYSA-N,150.5
3,GMHKMTDVRCWUDX-UHFFFAOYSA-N,136.5
4,MECHNRXZTMCUDQ-RKHKHRCZSA-N,116.5
5,CMSMOCZEIVJLDB-UHFFFAOYSA-N,51.5
6,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,181.0
7,PROQIPRRNZUXQM-ZXXIGWHRSA-N,282.0
8,YVGGHNCTFXOJCH-UHFFFAOYSA-N,108.5
9,XZIDTOHMJBOSOX-UHFFFAOYSA-N,124.5
10,FMMWHPNWAFZXNH-UHFFFAOYSA-N,176.5
11,VYMDGNCVAMGZFE-UHFFFAOYSA-N,105.0
12,UEJJHQNACJXSKW-UHFFFAOYSA-N,270.0
13,ZPUCINDJVBIVPJ-LJISPDSOSA-N,98.0
14,MXRGZXBFSKSZPH-UHFFFAOYSA-N,141.0
15,RAFFVQBMVYYTQS-UHFFFAOYSA-N,162.0
16,QAOJBHRZQQDFHA-UHFFFAOYSA-N,169.0
17,KRMDCWKBEZIMAB-UHFFFAOYSA-N,196.5
18,BCGWQEUPMDMJNV-UHFFFAOYSA-N,174.5
19,UYIFTLBWAOGQBI-BZDYCCQFSA-N,196.0
20,KLBQZWRITKRQQV-UHFFFAOYSA-N,73.0
21,MRBDMNSDAVCSSF-UHFFFAOYSA-N,174.5
22,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,230.0
23,QZAYGJVTTNCVMB-UHFFFAOYSA-N,167.5
24,PYMYPHUHKUWMLA-LMVFSUKVSA-N,95.0
25,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,135.0
26,QVTQYSFCFOGITD-UHFFFAOYSA-N,154.4
27,NJESAXZANHETJV-UHFFFAOYSA-N,177.0
28,IQFYYKKMVGJFEH-XLPZGREQSA-N,186.5
29,ODKNJVUHOIMIIZ-RRKCRQDMSA-N,150.5
30,GZCGUPFRVQAUEE-SLPGGIOYSA-N,83.0
31,NOIIUHRQUVNIDD-UHFFFAOYSA-N,151.6
32,HYZJCKYKOHLVJF-UHFFFAOYSA-N,170.5
33,GHASVSINZRGABV-UHFFFAOYSA-N,283.0
34,UOWZUVNAGUAEQC-UHFFFAOYSA-N,181.5
35,VRORTNGXAKZJML-UHFFFAOYSA-N,200.0
36,UFBJCMHMOXMLKC-UHFFFAOYSA-N,115.5
37,STECJAGHUSJQJN-FWXGHANASA-N,59.0
38,CXKCZFDUOYMOOP-UHFFFAOYSA-N,188.0
39,NTYJJOPFIAHURM-UHFFFAOYSA-N,86.0
40,XUIIKFGFIJCVMT-LBPRGKRZSA-N,235.5
41,KNAHARQHSZJURB-UHFFFAOYSA-N,219.0
42,DZGWFCGJZKJUFP-UHFFFAOYSA-N,164.5
43,HAWPXGHAZFHHAD-UHFFFAOYSA-N,-60.0
44,JOYRKODLDBILNP-UHFFFAOYSA-N,49.0
45,IMONTRJLAWHYGT-ZCPXKWAGSA-N,161.5
46,LXMSZDCAJNLERA-ZHYRCANASA-N,207.5
47,FOCVUCIESVLUNU-UHFFFAOYSA-N,51.5
48,WTYGAUXICFETTC-UHFFFAOYSA-N,173.0
49,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,166.5
50,FDQGNLOWMMVRQL-UHFFFAOYSA-N,172.0
51,PXZAWHSJYIECNQ-UHFFFAOYSA-N,147.5
52,LVDKZNITIUWNER-UHFFFAOYSA-N,131.5
53,NFACJZMKEDPNKN-UHFFFAOYSA-N,77.0
54,YNVGQYHLRCDXFQ-XGXHKTLJSA-N,159.0
55,JISACBWYRJHSMG-UHFFFAOYSA-N,53.0
56,LNEPOXFFQSENCJ-UHFFFAOYSA-N,151.5
57,SYGWGHVTLUBCEM-ZIZPXRJBSA-N,190.0
58,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,222.0
59,DNXHEGUUPJUMQT-CBZIJGRNSA-N,260.2
60,JWBOIMRXGHLCPP-UHFFFAOYSA-N,77.0
61,MYYIMZRZXIQBGI-HVIRSNARSA-N,210.5
62,PLBHSZGDDKCEHR-LFYFAGGJSA-N,206.5
63,QSLJIVKCVHQPLV-PEMPUTJUSA-N,236.5
64,QGXBDMJGAMFCBF-HLUDHZFRSA-N,185.0
65,FMGSKLZLMKYGDP-USOAJAOKSA-N,140.5
66,LHRCREOYAASXPZ-UHFFFAOYSA-N,269.5
67,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,176.25
68,CGIGDMFJXJATDK-UHFFFAOYSA-N,158.0
69,CZIHNRWJTSTCEX-UHFFFAOYSA-N,193.0
70,KRQAMFQCSAJCRH-UHFFFAOYSA-N,76.0
71,RHCSKNNOAZULRK-UHFFFAOYSA-N,35.5
72,SNICXCGAKADSCV-JTQLQIEISA-N,-79.0
73,LMNPKIOZMGYQIU-UHFFFAOYSA-N,316.0
74,WYXSYVWAUAUWLD-SHUUEZRQSA-N,158.0
75,VRYMTAVOXVTQEF-UHFFFAOYSA-N,144.5
76,XQFRJNBWHJMXHO-RRKCRQDMSA-N,263.0
77,NGVDGCNFYWLIFO-UHFFFAOYSA-N,255.0
78,WXFIGDLSSYIKKV-RCOVLWMOSA-N,107.5
79,QRXWMOHMRWLFEY-UHFFFAOYSA-N,171.4
80,QXTOLYZIJUDOIT-WUKNDPDISA-N,68.0
81,CWRVKFFCRWGWCS-UHFFFAOYSA-N,59.5
82,OYTKINVCDFNREN-UHFFFAOYSA-N,220.0
83,TWBYWOBDOCUKOW-UHFFFAOYSA-N,315.0
84,PNVJTZOFSHSLTO-UHFFFAOYSA-N,7.5
85,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,134.0
86,SNIOPGDIGTZGOP-UHFFFAOYSA-N,13.5
87,NIVZHWNOUVJHKV-UHFFFAOYSA-N,196.0
88,LVTFSVIRYMXRSR-WUKNDPDISA-N,138.5
89,MUCZHBLJLSDCSD-UHFFFAOYSA-N,-82.0
90,XNCOSPRUTUOJCJ-UHFFFAOYSA-N,136.0
91,JPZOAVGMSDSWSW-UHFFFAOYSA-N,220.5
92,OTBHHUPVCYLGQO-UHFFFAOYSA-N,-14.0
93,VZGDMQKNWNREIO-UHFFFAOYSA-N,-23.0
94,LCCNCVORNKJIRZ-UHFFFAOYSA-N,6.1
95,VPGRYOFKCNULNK-ACXQXYJUSA-N,157.0
96,PPQNQXQZIWHJRB-UHFFFAOYSA-N,180.0
97,RGLYKWWBQGJZGM-ISLYRVAYSA-N,170.5
98,LOUPRKONTZGTKE-LHHVKLHASA-N,174.0
99,DXBHBZVCASKNBY-UHFFFAOYSA-N,84.0
100,YHQDZJICGQWFHK-UHFFFAOYSA-N,154.0
101,BXNANOICGRISHX-UHFFFAOYSA-N,93.0
102,WIIZWVCIJKGZOK-RKDXNWHRSA-N,150.5
103,PEDCQBHIVMGVHV-UHFFFAOYSA-N,18.2
104,MNQZXJOMYWMBOU-UHFFFAOYSA-N,145.0
105,ZOJBYZNEUISWFT-UHFFFAOYSA-N,-80.0
106,WDSCBUNMANHPFH-UHFFFAOYSA-N,104.5
107,IPCSVZSSVZVIGE-UHFFFAOYSA-N,61.8
108,QIQXTHQIDYTFRH-UHFFFAOYSA-N,68.8
109,XSQUKJJJFZCRTK-UHFFFAOYSA-N,132.7
110,RHUYHJGZWVXEHW-UHFFFAOYSA-N,-58.0
111,OSASVXMJTNOKOY-UHFFFAOYSA-N,97.0
112,OGWKCGZFUXNPDA-XQKSVPLYSA-N,220.0
113,QMGVPVSNSZLJIA-FVWCLLPLSA-N,287.0
114,CXOFVDLJLONNDW-UHFFFAOYSA-N,296.5
115,XADCESSVHJOZHK-UHFFFAOYSA-N,270.0
116,VIROVYVQCGLCII-UHFFFAOYSA-N,157.0
117,FTOAOBMCPZCFFF-UHFFFAOYSA-N,190.0
118,PIJVFDBKTWXHHD-HIFRSBDPSA-N,105.5
119,CZMRCDWAGMRECN-UGDNZRGBSA-N,185.5
120,DNIAPMSPPWPWGF-UHFFFAOYSA-N,-60.0
121,DUIOPKIIICUYRZ-UHFFFAOYSA-N,96.0
122,CYDMQBQPVICBEU-XRNKAMNCSA-N,168.5
123,BFPYWIDHMRZLRN-SLHNCBLASA-N,183.0
124,DBABZHXKTCFAPX-UHFFFAOYSA-N,195.0
125,BRBKOPJOKNSWSG-UHFFFAOYSA-N,191.5
126,ASWVTGNCAZCNNR-UHFFFAOYSA-N,198.5
127,BIWJNBZANLAXMG-UHFFFAOYSA-N,106.0
128,RJKFOVLPORLFTN-LEKSSAKUSA-N,121.0
129,DNVPQKQSNYMLRS-APGDWVJJSA-N,170.0
130,HVYWMOMLDIMFJA-DPAQBDIFSA-N,148.5
131,ARSRBNBHOADGJU-UHFFFAOYSA-N,122.5
132,RYYVLZVUVIJVGH-UHFFFAOYSA-N,238.0
133,WKSAUQYGYAYLPV-UHFFFAOYSA-N,233.5
134,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,134.5
135,IKXILDNPCZPPRV-RFMGOVQKSA-N,151.0
136,HPFVBGJFAYZEBE-ZLQWOROUSA-N,155.0
137,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,155.0
138,MJVAVZPDRWSRRC-UHFFFAOYSA-N,107.0
139,IZEKFCXSFNUWAM-UHFFFAOYSA-N,163.0
140,VCRZAKVGPJFABU-UHFFFAOYSA-N,184.5
141,WIKYUJGCLQQFNW-UHFFFAOYSA-N,228.0
142,RGCVKNLCSQQDEP-UHFFFAOYSA-N,97.0
143,MKJIEFSOBYUXJB-UHFFFAOYSA-N,128.0
144,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,273.0
145,OIRDTQYFTABQOQ-KQYNXXCUSA-N,235.5
146,MKYQPGPNVYRMHI-UHFFFAOYSA-N,72.5
147,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,168.0
148,XQYZDYMELSJDRZ-UHFFFAOYSA-N,147.5
149,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,112.5
