,inchikey,y
0,UREBDLICKHMUKA-CXSFZGCWSA-N,0
1,DDBREPKUVSBGFI-UHFFFAOYSA-N,1
2,NWIBSHFKIJFRCO-WUDYKRTCSA-N,1
3,CMSMOCZEIVJLDB-UHFFFAOYSA-N,1
4,OIGNJSKKLXVSLS-VWUMJDOOSA-N,0
5,PROQIPRRNZUXQM-ZXXIGWHRSA-N,0
6,VOXZDWNPVJITMN-ZBRFXRBCSA-N,0
7,YVGGHNCTFXOJCH-UHFFFAOYSA-N,0
8,MRUDNSFOFOQZDA-UHFFFAOYSA-N,0
9,VYMDGNCVAMGZFE-UHFFFAOYSA-N,0
10,UEJJHQNACJXSKW-UHFFFAOYSA-N,0
11,QAOJBHRZQQDFHA-UHFFFAOYSA-N,0
12,HCYAFALTSJYZDH-UHFFFAOYSA-N,0
13,KRMDCWKBEZIMAB-UHFFFAOYSA-N,0
14,BCGWQEUPMDMJNV-UHFFFAOYSA-N,0
15,QEVHRUUCFGRFIF-MDEJGZGSSA-N,0
16,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,1
17,RJURFGZVJUQBHK-IIXSONLDSA-N,0
18,IQFYYKKMVGJFEH-XLPZGREQSA-N,0
19,GZCGUPFRVQAUEE-SLPGGIOYSA-N,0
20,FIPWRIJSWJWJAI-UHFFFAOYSA-N,0
21,NOIIUHRQUVNIDD-UHFFFAOYSA-N,1
22,HYZJCKYKOHLVJF-UHFFFAOYSA-N,0
23,GHASVSINZRGABV-UHFFFAOYSA-N,0
24,CXKCZFDUOYMOOP-UHFFFAOYSA-N,0
25,UCTWMZQNUQWSLP-VIFPVBQESA-N,0
26,VPHHJAOJUJHJKD-UHFFFAOYSA-N,0
27,NTYJJOPFIAHURM-UHFFFAOYSA-N,0
28,KNAHARQHSZJURB-UHFFFAOYSA-N,0
29,JOYRKODLDBILNP-UHFFFAOYSA-N,1
30,IMONTRJLAWHYGT-ZCPXKWAGSA-N,0
31,FOCVUCIESVLUNU-UHFFFAOYSA-N,1
32,LVDKZNITIUWNER-UHFFFAOYSA-N,0
33,NILQLFBWTXNUOE-UHFFFAOYSA-N,0
34,VVNCNSJFMMFHPL-VKHMYHEASA-N,1
35,LNEPOXFFQSENCJ-UHFFFAOYSA-N,0
36,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,1
37,FMGSKLZLMKYGDP-USOAJAOKSA-N,0
38,LHRCREOYAASXPZ-UHFFFAOYSA-N,1
39,JJCLXJPUTJMRTM-UHFFFAOYSA-N,1
40,SOKUIEGXJHVFDV-UHFFFAOYSA-N,1
41,SNICXCGAKADSCV-JTQLQIEISA-N,0
42,DUUGKQCEGZLZNO-UHFFFAOYSA-N,0
43,QRXWMOHMRWLFEY-UHFFFAOYSA-N,1
44,QXTOLYZIJUDOIT-WUKNDPDISA-N,1
45,KXDAEFPNCMNJSK-UHFFFAOYSA-N,0
46,PNVJTZOFSHSLTO-UHFFFAOYSA-N,0
47,SNIOPGDIGTZGOP-UHFFFAOYSA-N,1
48,COVZYZSDYWQREU-UHFFFAOYSA-N,1
49,VZGDMQKNWNREIO-UHFFFAOYSA-N,0
50,LCCNCVORNKJIRZ-UHFFFAOYSA-N,0
51,PPQNQXQZIWHJRB-UHFFFAOYSA-N,1
52,RGLYKWWBQGJZGM-ISLYRVAYSA-N,0
53,DXBHBZVCASKNBY-UHFFFAOYSA-N,1
54,YHQDZJICGQWFHK-UHFFFAOYSA-N,1
55,WIIZWVCIJKGZOK-RKDXNWHRSA-N,0
56,PEDCQBHIVMGVHV-UHFFFAOYSA-N,0
57,ZOJBYZNEUISWFT-UHFFFAOYSA-N,1
58,XSQUKJJJFZCRTK-UHFFFAOYSA-N,0
59,CXOFVDLJLONNDW-UHFFFAOYSA-N,0
60,PIJVFDBKTWXHHD-HIFRSBDPSA-N,0
61,VEZXCJBBBCKRPI-UHFFFAOYSA-N,1
62,BFPYWIDHMRZLRN-SLHNCBLASA-N,0
63,DBABZHXKTCFAPX-UHFFFAOYSA-N,0
64,BRBKOPJOKNSWSG-UHFFFAOYSA-N,0
65,ASWVTGNCAZCNNR-UHFFFAOYSA-N,0
66,UCSJYZPVAKXKNQ-HZYVHMACSA-N,1
67,RYYVLZVUVIJVGH-UHFFFAOYSA-N,0
68,WKSAUQYGYAYLPV-UHFFFAOYSA-N,0
69,RMMXTBMQSGEXHJ-UHFFFAOYSA-N,1
70,MJVAVZPDRWSRRC-UHFFFAOYSA-N,1
71,AVOLMBLBETYQHX-UHFFFAOYSA-N,0
72,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,0
73,OIRDTQYFTABQOQ-KQYNXXCUSA-N,0
74,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,0
75,VGVRPFIJEJYOFN-UHFFFAOYSA-N,0
76,JZUFKLXOESDKRF-UHFFFAOYSA-N,0
77,JBMKAUGHUNFTOL-UHFFFAOYSA-N,0
78,FBZONXHGGPHHIY-UHFFFAOYSA-N,0
79,GVJHHUAWPYXKBD-IEOSBIPESA-N,0
80,FBOZXECLQNJBKD-ZDUSSCGKSA-N,0
81,WOVKYSAHUYNSMH-RRKCRQDMSA-N,0
82,OVBPIULPVIDEAO-LBPRGKRZSA-N,0
83,LISFMEBWQUVKPJ-UHFFFAOYSA-N,0
84,CFKMVGJGLGKFKI-UHFFFAOYSA-N,0
85,PVNIIMVLHYAWGP-UHFFFAOYSA-N,0
86,ZKXDGKXYMTYWTB-UHFFFAOYSA-N,1
87,JCYPECIVGRXBMO-FOCLMDBBSA-N,1
88,UFULAYFCSOUIOV-UHFFFAOYSA-N,0
89,DLFVBJFMPXGRIB-UHFFFAOYSA-N,0
90,MCWXGJITAZMZEV-UHFFFAOYSA-N,1
91,VEQOALNAAJBPNY-UHFFFAOYSA-N,0
92,RDXLYGJSWZYTFJ-UHFFFAOYSA-N,1
93,KLSJWNVTNUYHDU-UHFFFAOYSA-N,0
94,OTLNPYWUJOZPPA-UHFFFAOYSA-N,1
95,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,0
96,UMGDCJDMYOKAJW-UHFFFAOYSA-N,0
97,OEBRKCOSUFCWJD-UHFFFAOYSA-N,1
98,CVXBEEMKQHEXEN-UHFFFAOYSA-N,1
99,FDDDEECHVMSUSB-UHFFFAOYSA-N,0
100,HJJPJSXJAXAIPN-UHFFFAOYSA-N,1
101,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,0
102,BDAGIHXWWSANSR-UHFFFAOYSA-N,0
103,DENRZWYUOJLTMF-UHFFFAOYSA-N,1
104,JDNTWHVOXJZDSN-UHFFFAOYSA-N,1
105,JLRGJRBPOGGCBT-UHFFFAOYSA-N,0
106,WPYMKLBDIGXBTP-UHFFFAOYSA-N,0
107,PXQPEWDEAKTCGB-UHFFFAOYSA-N,0
108,ISAKRJDGNUQOIC-UHFFFAOYSA-N,0
109,MBABOKRGFJTBAE-UHFFFAOYSA-N,1
110,DGEZNRSVGBDHLK-UHFFFAOYSA-N,0
111,IDPUKCWIGUEADI-UHFFFAOYSA-N,1
112,YPHMISFOHDHNIV-FSZOTQKASA-N,0
113,NXFQHRVNIOXGAQ-YCRREMRBSA-N,1
114,GGLZPLKKBSSKCX-UHFFFAOYSA-N,0
115,PLHJDBGFXBMTGZ-WEVVVXLNSA-N,1
116,NOEGNKMFWQHSLB-UHFFFAOYSA-N,1
117,OKKJLVBELUTLKV-UHFFFAOYSA-N,0
118,CSCPPACGZOOCGX-UHFFFAOYSA-N,0
119,HEDRZPFGACZZDS-UHFFFAOYSA-N,0
120,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,0
121,VHHHONWQHHHLTI-UHFFFAOYSA-N,0
122,QYSXJUFSXHHAJI-YRZJJWOYSA-N,0
123,FIVPIPIDMRVLAY-RBJBARPLSA-N,0
124,CWERGRDVMFNCDR-UHFFFAOYSA-N,0
125,ZMXDDKWLCZADIW-UHFFFAOYSA-N,0
126,VIKNJXKGJWUCNN-XGXHKTLJSA-N,0
127,ICTXHFFSOAJUMG-SLHNCBLASA-N,0
128,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,1
129,VSQQQLOSPVPRAZ-RRKCRQDMSA-N,1
130,LIGACIXOYTUXAW-UHFFFAOYSA-N,0
131,RWSXRVCMGQZWBV-WDSKDSINSA-N,1
132,LOTKRQAVGJMPNV-UHFFFAOYSA-N,1
133,BDERNNFJNOPAEC-UHFFFAOYSA-N,0
134,LRHPLDYGYMQRHN-UHFFFAOYSA-N,0
135,AMQJEAYHLZJPGS-UHFFFAOYSA-N,0
136,UHOVQNZJYSORNB-UHFFFAOYSA-N,0
137,JNMRHUJNCSQMMB-UHFFFAOYSA-N,0
138,IAKOZHOLGAGEJT-UHFFFAOYSA-N,0
139,RGCKGOZRHPZPFP-UHFFFAOYSA-N,1
140,QFMDFTQOJHFVNR-UHFFFAOYSA-N,1
141,OFEZSBMBBKLLBJ-BAJZRUMYSA-N,1
142,QIVBCDIJIAJPQS-VIFPVBQESA-N,0
143,GFFGJBXGBJISGV-UHFFFAOYSA-N,1
144,DRLFMBDRBRZALE-UHFFFAOYSA-N,0
145,XRHGYUZYPHTUJZ-UHFFFAOYSA-N,0
146,VGGSQFUCUMXWEO-UHFFFAOYSA-N,0
147,NEHMKBQYUWJMIP-UHFFFAOYSA-N,1
148,BAVYZALUXZFZLV-UHFFFAOYSA-N,0
149,FJBFPHVGVWTDIP-UHFFFAOYSA-N,1
150,RDHPKYGYEGBMSE-UHFFFAOYSA-N,1
151,JPOXNPPZZKNXOV-UHFFFAOYSA-N,1
152,QUSNBJAOOMFDIB-UHFFFAOYSA-N,0
153,WEVYAHXRMPXWCK-UHFFFAOYSA-N,0
154,IKHGUXGNUITLKF-UHFFFAOYSA-N,0
155,YMWUJEATGCHHMB-UHFFFAOYSA-N,1
156,NZZFYRREKKOMAT-UHFFFAOYSA-N,0
157,ZHNUHDYFZUAESO-UHFFFAOYSA-N,0
158,SQDFHQJTAWCFIB-UHFFFAOYSA-N,0
159,IAYPIBMASNFSPL-UHFFFAOYSA-N,1
160,DIKBFYAXUHHXCS-UHFFFAOYSA-N,1
161,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,1
162,JJWLVOIRVHMVIS-UHFFFAOYSA-N,0
163,KJRCEJOSASVSRA-UHFFFAOYSA-N,0
164,SCYULBFZEHDVBN-UHFFFAOYSA-N,0
165,BQCIDUSAKPWEOX-UHFFFAOYSA-N,1
166,OKJPEAGHQZHRQV-UHFFFAOYSA-N,1
167,GETQZCLCWQTVFV-UHFFFAOYSA-N,0
168,YBRBMKDOPFTVDT-UHFFFAOYSA-N,0
169,CYRMSUTZVYGINF-UHFFFAOYSA-N,0
170,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,0
171,MWFMGBPGAXYFAR-UHFFFAOYSA-N,0
172,HFFLGKNGCAIQMO-UHFFFAOYSA-N,1
173,CYXIKYKBLDZZNW-UHFFFAOYSA-N,0
174,CIHOLLKRGTVIJN-UHFFFAOYSA-N,1
175,OGVPXEPSTZMAFF-UHFFFAOYSA-N,0
176,QIONYIKHPASLHO-UHFFFAOYSA-N,1
177,NDUPDOJHUQKPAG-UHFFFAOYSA-N,0
178,YNJBWRMUSHSURL-UHFFFAOYSA-N,0
179,LFHISGNCFUNFFM-UHFFFAOYSA-N,1
180,UGCSPKPEHQEOSR-UHFFFAOYSA-N,1
181,DDMOUSALMHHKOS-UHFFFAOYSA-N,0
182,RFCAUADVODFSLZ-UHFFFAOYSA-N,0
183,IXORZMNAPKEEDV-OBDJNFEBSA-N,0
184,KJFMBFZCATUALV-UHFFFAOYSA-N,0
185,AMTPYFGPPVFBBI-UHFFFAOYSA-N,0
186,VUNCWTMEJYMOOR-UHFFFAOYSA-N,0
187,OPNPQXLQERQBBV-UHFFFAOYSA-N,0
188,VAYGXNSJCAHWJZ-UHFFFAOYSA-N,1
189,MBDNRNMVTZADMQ-UHFFFAOYSA-N,0
190,PJVJTCIRVMBVIA-UHFFFAOYSA-N,0
191,QZCLKYGREBVARF-UHFFFAOYSA-N,0
192,KRKNYBCHXYNGOX-UHFFFAOYSA-N,0
193,AAWZDTNXLSGCEK-WYWMIBKRSA-N,0
194,ZJCCRDAZUWHFQH-UHFFFAOYSA-N,0
195,TZRXHJWUDPFEEY-UHFFFAOYSA-N,0
