,inchikey,y
0,SNICXCGAKADSCV-JTQLQIEISA-N,38.29
1,WBNQDOYYEUMPFS-UHFFFAOYSA-N,32.5575
2,SNIOPGDIGTZGOP-UHFFFAOYSA-N,49.48
3,VZGDMQKNWNREIO-UHFFFAOYSA-N,26.43
4,ZOJBYZNEUISWFT-UHFFFAOYSA-N,34.075
5,UYXTWWCETRIEDR-UHFFFAOYSA-N,30.5125
6,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,42.1175
7,UMFJAHHVKNCGLG-UHFFFAOYSA-N,37.7425
8,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,21.97
9,BDAGIHXWWSANSR-UHFFFAOYSA-N,37.125
10,OKKJLVBELUTLKV-UHFFFAOYSA-N,22.0675
11,KFZMGEQAYNKOFK-UHFFFAOYSA-N,20.9275
12,CSCPPACGZOOCGX-UHFFFAOYSA-N,23.46
13,HEDRZPFGACZZDS-UHFFFAOYSA-N,26.6725
14,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,42.9175
15,BDERNNFJNOPAEC-UHFFFAOYSA-N,23.3175
16,LRHPLDYGYMQRHN-UHFFFAOYSA-N,24.93425
17,AMQJEAYHLZJPGS-UHFFFAOYSA-N,25.355
18,UOCLXMDMGBRAIB-UHFFFAOYSA-N,25.175
19,NEHMKBQYUWJMIP-UHFFFAOYSA-N,15.375
20,INQOMBQAUSQDDS-UHFFFAOYSA-N,30.335
21,BAVYZALUXZFZLV-UHFFFAOYSA-N,19.15
22,LSDPWZHWYPCBBB-UHFFFAOYSA-N,23.85
23,FJBFPHVGVWTDIP-UHFFFAOYSA-N,39.05
24,RDHPKYGYEGBMSE-UHFFFAOYSA-N,23.6225
25,HVTICUPFWKNHNG-UHFFFAOYSA-N,28.455
26,QUSNBJAOOMFDIB-UHFFFAOYSA-N,19.2
27,WEVYAHXRMPXWCK-UHFFFAOYSA-N,28.6625
28,IKHGUXGNUITLKF-UHFFFAOYSA-N,20.5
29,DNJIEGIFACGWOD-UHFFFAOYSA-N,23.0775
30,NZZFYRREKKOMAT-UHFFFAOYSA-N,66.1775
31,QMMFVYPAHWMCMS-UHFFFAOYSA-N,24.0575
32,IAYPIBMASNFSPL-UHFFFAOYSA-N,23.5
33,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,23.2525
34,FMWLUWPQPKEARP-UHFFFAOYSA-N,31.875
35,NNPPMTNAJDCUHE-UHFFFAOYSA-N,9.74
36,ULYZAYCEDJDHCC-UHFFFAOYSA-N,19.1625
37,FMKOJHQHASLBPH-UHFFFAOYSA-N,26.5825
38,JJWLVOIRVHMVIS-UHFFFAOYSA-N,17.48025
39,KJRCEJOSASVSRA-UHFFFAOYSA-N,21.325
40,LYGJENNIWJXYER-UHFFFAOYSA-N,36.525
41,YBRBMKDOPFTVDT-UHFFFAOYSA-N,16.87
42,DKGAVHZHDRPRBM-UHFFFAOYSA-N,19.96
43,WMXCDAVJEZZYLT-UHFFFAOYSA-N,19.97
44,AFVFQIVMOAPDHO-UHFFFAOYSA-N,50.0475
45,IJOOHPMOJXWVHK-UHFFFAOYSA-N,17.3225
46,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,15.815
47,MSXVEPNJUHWQHW-UHFFFAOYSA-N,22.31
48,HFFLGKNGCAIQMO-UHFFFAOYSA-N,24.6675
49,BNIXVQGCZULYKV-UHFFFAOYSA-N,34.145
50,DTQVDTLACAAQTR-UHFFFAOYSA-N,13.529
51,LFHISGNCFUNFFM-UHFFFAOYSA-N,31.675
52,FRDAATYAJDYRNW-UHFFFAOYSA-N,23.26
53,AATNZNJRDOVKDD-UHFFFAOYSA-N,28.1925
54,DQWPFSLDHJDLRL-UHFFFAOYSA-N,29.49
55,UPSXAPQYNGXVBF-UHFFFAOYSA-N,24.7125
56,HLVFKOKELQSXIQ-UHFFFAOYSA-N,24.3125
57,QWTDNUCVQCZILF-UHFFFAOYSA-N,14.4425
58,KDSNLYIMUZNERS-UHFFFAOYSA-N,21.75
59,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,22.5425
60,BSPCSKHALVHRSR-UHFFFAOYSA-N,21.605
61,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,23.965
62,WOFDVDFSGLBFAC-UHFFFAOYSA-N,35.91
63,UBOXGVDOUJQMTN-UHFFFAOYSA-N,34.0225
64,XBDQKXXYIPTUBI-UHFFFAOYSA-N,26.1975
65,MCSAJNNLRCFZED-UHFFFAOYSA-N,32.1325
66,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,16.8805
67,KQNPFQTWMSNSAP-UHFFFAOYSA-N,24.58
68,QPFMBZIOSGYJDE-UHFFFAOYSA-N,35.58
69,JXTHNDFMNIQAHM-UHFFFAOYSA-N,35.3682
70,FGLBSLMDCBOPQK-UHFFFAOYSA-N,29.285
71,PSQYTAPXSHCGMF-BQYQJAHWSA-N,32.98575
72,FLKPEMZONWLCSK-UHFFFAOYSA-N,36.0625
73,YJMNOKOLADGBKA-UHFFFAOYSA-N,45.8775
74,YSAVZVORKRDODB-PHDIDXHHSA-N,37.4725
75,WYJOVVXUZNRJQY-UHFFFAOYSA-N,41.95
76,SMQUZDBALVYZAC-UHFFFAOYSA-N,42.275
77,DLKQHBOKULLWDQ-UHFFFAOYSA-N,43.895
78,QPUYECUOLPXSFR-UHFFFAOYSA-N,37.625
79,JTPNRXUCIXHOKM-UHFFFAOYSA-N,41.5325
80,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,33.99
81,WVIIMZNLDWSIRH-UHFFFAOYSA-N,32.2625
82,DYUQAZSOFZSPHD-UHFFFAOYSA-N,33.5345
83,QPJVMBTYPHYUOC-UHFFFAOYSA-N,37.1725
84,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,34.5125
85,QSSXJPIWXQTSIX-UHFFFAOYSA-N,34.12525
86,CTQNGGLPUBDAKN-UHFFFAOYSA-N,29.7575
87,GWHJZXXIDMPWGX-UHFFFAOYSA-N,29.1975
88,CZZZABOKJQXEBO-UHFFFAOYSA-N,36.85075
89,WYACBZDAHNBPPB-UHFFFAOYSA-N,31.5225
90,PFEOZHBOMNWTJB-UHFFFAOYSA-N,17.61
91,FDPIMTJIUBPUKL-UHFFFAOYSA-N,24.7425
