,inchikey,y
0,VZGDMQKNWNREIO-UHFFFAOYSA-N,102.9
1,DNIAPMSPPWPWGF-UHFFFAOYSA-N,201.347
2,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,177.1
3,BDAGIHXWWSANSR-UHFFFAOYSA-N,277.35
4,OKKJLVBELUTLKV-UHFFFAOYSA-N,206.0
5,KFZMGEQAYNKOFK-UHFFFAOYSA-N,134.4
6,CSCPPACGZOOCGX-UHFFFAOYSA-N,163.3
7,HEDRZPFGACZZDS-UHFFFAOYSA-N,118.5
8,ZMXDDKWLCZADIW-UHFFFAOYSA-N,182.115
9,BDERNNFJNOPAEC-UHFFFAOYSA-N,151.8
10,LRHPLDYGYMQRHN-UHFFFAOYSA-N,155.3
11,AMQJEAYHLZJPGS-UHFFFAOYSA-N,156.375
12,UHOVQNZJYSORNB-UHFFFAOYSA-N,142.4
13,UOCLXMDMGBRAIB-UHFFFAOYSA-N,101.2
14,GZUXJHMPEANEGY-UHFFFAOYSA-N,95.702
15,VGGSQFUCUMXWEO-UHFFFAOYSA-N,79.5
16,INQOMBQAUSQDDS-UHFFFAOYSA-N,92.1
17,FJBFPHVGVWTDIP-UHFFFAOYSA-N,108.5
18,RDHPKYGYEGBMSE-UHFFFAOYSA-N,102.517
19,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,90.93
20,HRYZWHHZPQKTII-UHFFFAOYSA-N,127.0
21,IKHGUXGNUITLKF-UHFFFAOYSA-N,187.805
22,YMWUJEATGCHHMB-UHFFFAOYSA-N,139.232
23,NZZFYRREKKOMAT-UHFFFAOYSA-N,97.975
24,ZHNUHDYFZUAESO-UHFFFAOYSA-N,352.0
25,DIKBFYAXUHHXCS-UHFFFAOYSA-N,98.85
26,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,95.0
27,SCYULBFZEHDVBN-UHFFFAOYSA-N,110.675
28,NPNPZTNLOVBDOC-UHFFFAOYSA-N,104.075
29,UMNKXPULIDJLSU-UHFFFAOYSA-N,109.365
30,VOPWNXZWBYDODV-UHFFFAOYSA-N,86.457
31,XPDWGBQVDMORPB-UHFFFAOYSA-N,85.7
32,LYGJENNIWJXYER-UHFFFAOYSA-N,203.676
33,DKGAVHZHDRPRBM-UHFFFAOYSA-N,107.965
34,BHNZEZWIUMJCGF-UHFFFAOYSA-N,84.925
35,CYRMSUTZVYGINF-UHFFFAOYSA-N,91.83
36,PXBRQCKWGAHEHS-UHFFFAOYSA-N,71.025
37,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,100.812
38,CYXIKYKBLDZZNW-UHFFFAOYSA-N,88.475
39,RHQDFWAXVIIEBN-UHFFFAOYSA-N,127.2
40,UGCSPKPEHQEOSR-UHFFFAOYSA-N,81.875
41,AJDIZQLSFPQPEY-UHFFFAOYSA-N,74.894
42,RFCAUADVODFSLZ-UHFFFAOYSA-N,52.2
43,WMIYKQLTONQJES-UHFFFAOYSA-N,35.55
44,QYSGYZVSCZSLHT-UHFFFAOYSA-N,48.2
45,DOOTYTYQINUNNV-UHFFFAOYSA-N,147.7
46,HLVFKOKELQSXIQ-UHFFFAOYSA-N,93.6
47,QWTDNUCVQCZILF-UHFFFAOYSA-N,111.35
48,RRHGJUQNOFWUDK-UHFFFAOYSA-N,127.65
49,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,132.8
50,AMIMRNSIRUDHCM-UHFFFAOYSA-N,130.028
51,XSTXAVWGXDQKEL-UHFFFAOYSA-N,115.881
52,XBDQKXXYIPTUBI-UHFFFAOYSA-N,148.0
53,KXKVLQRXCPHEJC-UHFFFAOYSA-N,150.008
54,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,105.787
55,KQNPFQTWMSNSAP-UHFFFAOYSA-N,141.9
56,QPFMBZIOSGYJDE-UHFFFAOYSA-N,112.73
57,FGLBSLMDCBOPQK-UHFFFAOYSA-N,136.7
58,VVQNEPGJFQJSBK-UHFFFAOYSA-N,146.03
59,OIAQMFOKAXHPNH-UHFFFAOYSA-N,131.338
60,FLKPEMZONWLCSK-UHFFFAOYSA-N,142.725
61,MGWAVDBGNNKXQV-UHFFFAOYSA-N,125.5
62,RELMFMZEBKVZJC-UHFFFAOYSA-N,112.4
63,YUWFEBAXEOLKSG-UHFFFAOYSA-N,109.45
64,PLAZTCDQAHEYBI-UHFFFAOYSA-N,141.9
65,MGSRCZKZVOBKFT-UHFFFAOYSA-N,131.0
66,DLKQHBOKULLWDQ-UHFFFAOYSA-N,111.35
67,JTPNRXUCIXHOKM-UHFFFAOYSA-N,125.6
68,SMWDFEZZVXVKRB-UHFFFAOYSA-N,147.35
69,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,136.25
70,QPJVMBTYPHYUOC-UHFFFAOYSA-N,146.9
71,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,141.5
72,CTQNGGLPUBDAKN-UHFFFAOYSA-N,131.4
73,QWVGKYWNOKOFNN-UHFFFAOYSA-N,153.6
74,IBSQPLPBRSHTTG-UHFFFAOYSA-N,127.2
75,RFFLAFLAYFXFSW-UHFFFAOYSA-N,121.83
76,ISPYQTSUDJAMAB-UHFFFAOYSA-N,141.1
77,CZZZABOKJQXEBO-UHFFFAOYSA-N,154.0
78,FDPIMTJIUBPUKL-UHFFFAOYSA-N,149.568
79,TZYRSLHNPKPEFV-UHFFFAOYSA-N,137.4
80,XPFVYQJUAUNWIW-UHFFFAOYSA-N,179.6
81,HYBBIBNJHNGZAN-UHFFFAOYSA-N,174.35
82,RWGFKTVRMDUZSP-UHFFFAOYSA-N,127.322
