,inchikey,y
0,XZIDTOHMJBOSOX-UHFFFAOYSA-N,-3.26
1,FMMWHPNWAFZXNH-UHFFFAOYSA-N,-8.26
2,ZPUCINDJVBIVPJ-LJISPDSOSA-N,-6.719
3,QAOJBHRZQQDFHA-UHFFFAOYSA-N,-3.642
4,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-4.599
5,HAWPXGHAZFHHAD-UHFFFAOYSA-N,-0.77
6,JOYRKODLDBILNP-UHFFFAOYSA-N,-0.582
7,LHRCREOYAASXPZ-UHFFFAOYSA-N,-9.02
8,SNICXCGAKADSCV-JTQLQIEISA-N,-1.42
9,PNVJTZOFSHSLTO-UHFFFAOYSA-N,-4.979
10,SNIOPGDIGTZGOP-UHFFFAOYSA-N,-3.398
11,VZGDMQKNWNREIO-UHFFFAOYSA-N,2.061
12,PPQNQXQZIWHJRB-UHFFFAOYSA-N,-7.367
13,PEDCQBHIVMGVHV-UHFFFAOYSA-N,-3.775
14,DNIAPMSPPWPWGF-UHFFFAOYSA-N,-0.889
15,BIWJNBZANLAXMG-UHFFFAOYSA-N,-5.011
16,PYMYPHUHKUWMLA-VPENINKCSA-N,-9.706
17,VGVRPFIJEJYOFN-UHFFFAOYSA-N,-3.177
18,WQABCVAJNWAXTE-UHFFFAOYSA-N,-2.301
19,JCYPECIVGRXBMO-FOCLMDBBSA-N,-7.155
20,WRMNZCZEMHIOCP-UHFFFAOYSA-N,-1.061
21,RTZKZFJDLAIYFH-UHFFFAOYSA-N,2.731
22,OYHQOLUKZRVURQ-HZJYTTRNSA-N,-6.061
23,HDZGCSFEDULWCS-UHFFFAOYSA-N,1.699
24,DLFVBJFMPXGRIB-UHFFFAOYSA-N,-1.398
25,MCWXGJITAZMZEV-UHFFFAOYSA-N,-4.726
26,KLSJWNVTNUYHDU-UHFFFAOYSA-N,-6.357
27,CPJSUEIXXCENMM-UHFFFAOYSA-N,-6.16
28,PLUBXMRUUVWRLT-UHFFFAOYSA-N,-0.686
29,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,-0.31
30,UMGDCJDMYOKAJW-UHFFFAOYSA-N,-2.553
31,OEBRKCOSUFCWJD-UHFFFAOYSA-N,-1.801
32,CVXBEEMKQHEXEN-UHFFFAOYSA-N,-5.866
33,HJJPJSXJAXAIPN-UHFFFAOYSA-N,-1.102
34,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,1.773
35,BDAGIHXWWSANSR-UHFFFAOYSA-N,1.629
36,DENRZWYUOJLTMF-UHFFFAOYSA-N,-0.674
37,WPYMKLBDIGXBTP-UHFFFAOYSA-N,-3.155
38,ISAKRJDGNUQOIC-UHFFFAOYSA-N,-4.331
39,HNYOPLTXPVRDBG-UHFFFAOYSA-N,-7.824
40,OKKJLVBELUTLKV-UHFFFAOYSA-N,2.104
41,GMPKIPWJBDOURN-UHFFFAOYSA-N,2.464
42,CSCPPACGZOOCGX-UHFFFAOYSA-N,2.365
43,HEDRZPFGACZZDS-UHFFFAOYSA-N,2.294
44,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,-0.215
45,CWERGRDVMFNCDR-UHFFFAOYSA-N,-1.061
46,ZMXDDKWLCZADIW-UHFFFAOYSA-N,0.588
47,YGSDEFSMJLZEOE-UHFFFAOYSA-N,-4.086
48,BDERNNFJNOPAEC-UHFFFAOYSA-N,1.322
49,LRHPLDYGYMQRHN-UHFFFAOYSA-N,0.826
50,AMQJEAYHLZJPGS-UHFFFAOYSA-N,0.342
51,UOCLXMDMGBRAIB-UHFFFAOYSA-N,2.093
52,AHJKRLASYNVKDZ-UHFFFAOYSA-N,-5.87
53,UCNVFOCBFJOQAL-UHFFFAOYSA-N,-5.222
54,GFFGJBXGBJISGV-UHFFFAOYSA-N,-10.351
55,UTGQNNCQYDRXCH-UHFFFAOYSA-N,-8.197
56,GZUXJHMPEANEGY-UHFFFAOYSA-N,3.21
57,OTMSDBZUPAUEDD-UHFFFAOYSA-N,4.498
58,HSFWRNGVRCDJHI-UHFFFAOYSA-N,4.562
59,NEHMKBQYUWJMIP-UHFFFAOYSA-N,3.633
60,INQOMBQAUSQDDS-UHFFFAOYSA-N,2.607
61,BAVYZALUXZFZLV-UHFFFAOYSA-N,3.423
62,LSDPWZHWYPCBBB-UHFFFAOYSA-N,3.179
63,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,3.854
64,MWWATHDPGQKSAR-UHFFFAOYSA-N,3.634
65,HVTICUPFWKNHNG-UHFFFAOYSA-N,2.134
66,WEVYAHXRMPXWCK-UHFFFAOYSA-N,1.948
67,IKHGUXGNUITLKF-UHFFFAOYSA-N,2.955
68,DNJIEGIFACGWOD-UHFFFAOYSA-N,2.723
69,YMWUJEATGCHHMB-UHFFFAOYSA-N,2.638
70,NZZFYRREKKOMAT-UHFFFAOYSA-N,0.079
71,ZHNUHDYFZUAESO-UHFFFAOYSA-N,-1.215
72,DIKBFYAXUHHXCS-UHFFFAOYSA-N,0.732
73,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,2.334
74,NNPPMTNAJDCUHE-UHFFFAOYSA-N,3.417
75,KJRCEJOSASVSRA-UHFFFAOYSA-N,2.442
76,SCYULBFZEHDVBN-UHFFFAOYSA-N,2.356
77,LGXVIGDEPROXKC-UHFFFAOYSA-N,2.778
78,WETWJCDKMRHUPV-UHFFFAOYSA-N,2.458
79,NPNPZTNLOVBDOC-UHFFFAOYSA-N,3.658
80,UMNKXPULIDJLSU-UHFFFAOYSA-N,3.134
81,YGYAWVDWMABLBF-UHFFFAOYSA-N,3.152
82,XPDWGBQVDMORPB-UHFFFAOYSA-N,4.548
83,GETQZCLCWQTVFV-UHFFFAOYSA-N,3.207
84,LYGJENNIWJXYER-UHFFFAOYSA-N,1.554
