,inchikey,y
0,VZGDMQKNWNREIO-UHFFFAOYSA-N,-0.041
1,PEDCQBHIVMGVHV-UHFFFAOYSA-N,2.975
2,CZMRCDWAGMRECN-UGDNZRGBSA-N,0.299
3,DNIAPMSPPWPWGF-UHFFFAOYSA-N,1.619
4,RTZKZFJDLAIYFH-UHFFFAOYSA-N,-0.652
5,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,0.571
6,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,0.028
7,BDAGIHXWWSANSR-UHFFFAOYSA-N,0.198
8,OKKJLVBELUTLKV-UHFFFAOYSA-N,-0.263
9,CSCPPACGZOOCGX-UHFFFAOYSA-N,-0.515
10,HEDRZPFGACZZDS-UHFFFAOYSA-N,-0.269
11,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,0.29
12,ZMXDDKWLCZADIW-UHFFFAOYSA-N,-0.094
13,BDERNNFJNOPAEC-UHFFFAOYSA-N,0.292
14,UHOVQNZJYSORNB-UHFFFAOYSA-N,-0.217
15,UOCLXMDMGBRAIB-UHFFFAOYSA-N,-0.1
16,INQOMBQAUSQDDS-UHFFFAOYSA-N,-0.33
17,BAVYZALUXZFZLV-UHFFFAOYSA-N,-0.759
18,RDHPKYGYEGBMSE-UHFFFAOYSA-N,-0.427
19,HVTICUPFWKNHNG-UHFFFAOYSA-N,-0.256
20,WEVYAHXRMPXWCK-UHFFFAOYSA-N,-0.445
21,DNJIEGIFACGWOD-UHFFFAOYSA-N,-0.541
22,YMWUJEATGCHHMB-UHFFFAOYSA-N,-0.383
23,NZZFYRREKKOMAT-UHFFFAOYSA-N,0.412
24,QMMFVYPAHWMCMS-UHFFFAOYSA-N,-0.552
25,IAYPIBMASNFSPL-UHFFFAOYSA-N,-0.595
26,DIKBFYAXUHHXCS-UHFFFAOYSA-N,0.27
27,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,-0.339
28,ULYZAYCEDJDHCC-UHFFFAOYSA-N,-0.516
29,FMKOJHQHASLBPH-UHFFFAOYSA-N,-0.186
30,JJWLVOIRVHMVIS-UHFFFAOYSA-N,-0.493
31,KJRCEJOSASVSRA-UHFFFAOYSA-N,-0.447
32,SCYULBFZEHDVBN-UHFFFAOYSA-N,-0.334
33,LGXVIGDEPROXKC-UHFFFAOYSA-N,-0.462
34,UMNKXPULIDJLSU-UHFFFAOYSA-N,-0.552
35,VOPWNXZWBYDODV-UHFFFAOYSA-N,-0.726
36,GOOHAUXETOMSMM-UHFFFAOYSA-N,-0.553
37,DKGAVHZHDRPRBM-UHFFFAOYSA-N,0.588
38,WMXCDAVJEZZYLT-UHFFFAOYSA-N,-0.233
39,PXBRQCKWGAHEHS-UHFFFAOYSA-N,-0.59
40,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,-0.454
41,MSXVEPNJUHWQHW-UHFFFAOYSA-N,0.602
42,HFFLGKNGCAIQMO-UHFFFAOYSA-N,0.104
43,PJGSXYOJTGTZAV-UHFFFAOYSA-N,-0.176
44,BNIXVQGCZULYKV-UHFFFAOYSA-N,0.356
45,DTQVDTLACAAQTR-UHFFFAOYSA-N,-0.092
46,AJDIZQLSFPQPEY-UHFFFAOYSA-N,-0.184
47,DDMOUSALMHHKOS-UHFFFAOYSA-N,-0.439
48,YSMRWXYRXBRSND-UHFFFAOYSA-N,1.935
49,GTVWRXDRKAHEAD-UHFFFAOYSA-N,1.2
50,HLVFKOKELQSXIQ-UHFFFAOYSA-N,-0.221
51,QWTDNUCVQCZILF-UHFFFAOYSA-N,-0.672
52,RRHGJUQNOFWUDK-UHFFFAOYSA-N,-0.685
53,KDSNLYIMUZNERS-UHFFFAOYSA-N,-0.255
54,LRDFRRGEGBBSRN-UHFFFAOYSA-N,-0.315
55,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,0.527
56,BSPCSKHALVHRSR-UHFFFAOYSA-N,-0.413
57,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,-0.403
58,XSTXAVWGXDQKEL-UHFFFAOYSA-N,-0.274
59,RZWZRACFZGVKFM-UHFFFAOYSA-N,-0.346
60,NIXOWILDQLNWCW-UHFFFAOYSA-N,0.063
61,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,0.621
62,KXKVLQRXCPHEJC-UHFFFAOYSA-N,-0.439
63,MCSAJNNLRCFZED-UHFFFAOYSA-N,-0.195
64,QXSZNDIIPUOQMB-UHFFFAOYSA-N,0.986
65,ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,-0.442
66,KQNPFQTWMSNSAP-UHFFFAOYSA-N,0.089
67,QPFMBZIOSGYJDE-UHFFFAOYSA-N,0.196
68,JXTHNDFMNIQAHM-UHFFFAOYSA-N,0.697
69,FGLBSLMDCBOPQK-UHFFFAOYSA-N,-0.142
70,UFFBMTHBGFGIHF-UHFFFAOYSA-N,0.509
71,WFNLHDJJZSJARK-UHFFFAOYSA-N,0.344
72,PLAZTCDQAHEYBI-UHFFFAOYSA-N,0.335
73,IQUPABOKLQSFBK-UHFFFAOYSA-N,0.569
74,SMQUZDBALVYZAC-UHFFFAOYSA-N,0.411
75,ABDKAPXRBAPSQN-UHFFFAOYSA-N,0.516
76,SMWDFEZZVXVKRB-UHFFFAOYSA-N,0.528
77,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,0.31
78,WVIIMZNLDWSIRH-UHFFFAOYSA-N,0.531
79,QPJVMBTYPHYUOC-UHFFFAOYSA-N,0.268
80,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,0.288
81,YBYIRNPNPLQARY-UHFFFAOYSA-N,0.222
82,QSSXJPIWXQTSIX-UHFFFAOYSA-N,0.151
83,QWVGKYWNOKOFNN-UHFFFAOYSA-N,0.909
84,IBSQPLPBRSHTTG-UHFFFAOYSA-N,-0.016
85,MMZYCBHLNZVROM-UHFFFAOYSA-N,-0.195
86,RNVCVTLRINQCPJ-UHFFFAOYSA-N,0.567
87,ISPYQTSUDJAMAB-UHFFFAOYSA-N,0.525
88,FDPIMTJIUBPUKL-UHFFFAOYSA-N,-0.351
89,GDOPTJXRTPNYNR-UHFFFAOYSA-N,-0.321
90,YEJRWHAVMIAJKC-UHFFFAOYSA-N,0.23
91,RRAFCDWBNXTKKO-UHFFFAOYSA-N,0.921
92,TZYRSLHNPKPEFV-UHFFFAOYSA-N,0.77
