,inchikey,y
0,ALEXXDVDDISNDU-JZYPGELDSA-N,4.458
1,DDBREPKUVSBGFI-UHFFFAOYSA-N,2.321
2,FWJKNZONDWOGMI-UHFFFAOYSA-N,2.0
3,CMSMOCZEIVJLDB-UHFFFAOYSA-N,0.815
4,WAFIYOULDIWAKR-UHFFFAOYSA-N,0.923
5,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,3.241
6,OIGNJSKKLXVSLS-VWUMJDOOSA-N,3.209
7,VOXZDWNPVJITMN-ZBRFXRBCSA-N,4.879
8,YVGGHNCTFXOJCH-UHFFFAOYSA-N,7.809
9,XZIDTOHMJBOSOX-UHFFFAOYSA-N,1.467
10,FMMWHPNWAFZXNH-UHFFFAOYSA-N,8.192
11,VYMDGNCVAMGZFE-UHFFFAOYSA-N,3.812
12,ZPUCINDJVBIVPJ-LJISPDSOSA-N,2.227
13,HCYAFALTSJYZDH-UHFFFAOYSA-N,3.658
14,KRMDCWKBEZIMAB-UHFFFAOYSA-N,4.456
15,BCGWQEUPMDMJNV-UHFFFAOYSA-N,4.188
16,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,5.097
17,QEVHRUUCFGRFIF-MDEJGZGSSA-N,3.921
18,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,1.593
19,FIPWRIJSWJWJAI-UHFFFAOYSA-N,4.374
20,HYZJCKYKOHLVJF-UHFFFAOYSA-N,1.769
21,IUCJMVBFZDHPDX-UHFFFAOYSA-N,-0.292
22,GHASVSINZRGABV-UHFFFAOYSA-N,1.069
23,UFBJCMHMOXMLKC-UHFFFAOYSA-N,1.819
24,PMMYEEVYMWASQN-DMTCNVIQSA-N,-0.44
25,UCTWMZQNUQWSLP-VIFPVBQESA-N,3.008
26,KNAHARQHSZJURB-UHFFFAOYSA-N,2.152
27,DZGWFCGJZKJUFP-UHFFFAOYSA-N,1.12
28,LXMSZDCAJNLERA-ZHYRCANASA-N,4.277
29,LRJOMUJRLNCICJ-JZYPGELDSA-N,4.369
